player,fbref_id,fbref_url,window,prior_season,pl_season,prior_league,prior_squads,pl_squads,pos,age_pl,prior_minutes,pl_minutes,minutes_ratio,prior_npxg,pl_npxg,prior_xag,pl_xag,prior_npxg_p90,pl_npxg_p90,prior_xag_p90,pl_xag_p90,prior_npxg_xag_p90,ratio_npxg,ratio_xag,diff_npxg,diff_xag,prior_pkatt,pl_pkatt,dest_big6,talent_split,talent_league_n,talent_league_p25,talent_league_p75,meets_900,meets_450,in_primary,prior_pl_minutes,source
Lucas Moura,2b622f01,https://fbref.com/en/players/2b622f01/Lucas-Moura,january,2017-18,2017-18,Ligue 1,Paris S-G,Tottenham,"FW,MF",24.0,76.0,210.0,2.763157894736842,1.3,0.2,0.7,0.3,1.5394736842105263,0.08571428571428572,0.8289473684210525,0.12857142857142856,2.3684210526315788,0.05567765567765568,0.15510204081632653,-1.4537593984962407,-0.700375939849624,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Michy Batshuayi,2973d8ff,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi,january,2017-18,2017-18,Bundesliga,Dortmund,Chelsea,FW,23.0,839.0,360.0,0.42908224076281287,7.3,1.1,0.3,0.1,0.7830750893921334,0.275,0.03218116805721097,0.025,0.8152562574493444,0.3511796042617961,0.7768518518518518,-0.5080750893921334,-0.007181168057210967,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Molla Wagué,a440d8ca,https://fbref.com/en/players/a440d8ca/Molla-Wague,january,2017-18,2017-18,Serie A,Udinese,Watford,DF,26.0,57.0,438.0,7.684210526315789,0.1,0.4,0.0,0.0,0.15789473684210525,0.0821917808219178,0.0,0.0,0.15789473684210525,0.5205479452054794,,-0.07570295602018745,0.0,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Nordin Amrabat,7c2a398c,https://fbref.com/en/players/7c2a398c/Nordin-Amrabat,january,2017-18,2017-18,La Liga,Leganés,Watford,FW,30.0,1623.0,198.0,0.12199630314232902,3.7,0.1,3.2,0.1,0.20517560073937152,0.045454545454545456,0.17744916820702403,0.045454545454545456,0.3826247689463955,0.22153972153972157,0.25615530303030304,-0.15972105528482605,-0.13199462275247859,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Patrice Evra,51a3caf1,https://fbref.com/en/players/51a3caf1/Patrice-Evra,january,2017-18,2017-18,Ligue 1,Marseille,West Ham,"DF,MF",36.0,349.0,228.0,0.6532951289398281,0.1,0.0,0.1,0.0,0.025787965616045846,0.0,0.025787965616045846,0.0,0.05157593123209169,0.0,0.0,-0.025787965616045846,-0.025787965616045846,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Philippe Coutinho,0ef89a37,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,january,2017-18,2017-18,La Liga,Barcelona,Liverpool,"MF,FW",25.0,1296.0,1109.0,0.8557098765432098,3.6,3.5,4.2,4.7,0.25,0.2840396753832281,0.2916666666666667,0.3814247069431921,0.5416666666666667,1.1361587015329124,1.3077418523766584,0.03403967538322811,0.0897580402765254,0.0,0.0,1,,,,,True,True,0,0.0,fbref_wfr_standard
Pierre-Emerick Aubameyang,d5dd5f1f,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,january,2017-18,2017-18,Bundesliga,Dortmund,Arsenal,FW,28.0,1416.0,1057.0,0.7464689265536724,13.0,6.8,2.3,1.1,0.826271186440678,0.5789971617786187,0.14618644067796607,0.0936613055818354,0.972457627118644,0.700735026562841,0.6406976265887873,-0.24727402466205928,-0.05252513509613067,4.0,2.0,1,,,,,True,True,0,0.0,fbref_wfr_standard
Reece Oxford,8b6e0db2,https://fbref.com/en/players/8b6e0db2/Reece-Oxford,january,2017-18,2017-18,Bundesliga,M'Gladbach,West Ham,MF,18.0,463.0,5.0,0.01079913606911447,0.2,0.0,0.1,0.0,0.038876889848812095,0.0,0.019438444924406047,0.0,0.05831533477321814,0.0,0.0,-0.038876889848812095,-0.019438444924406047,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Rolando Aarons,c5942695,https://fbref.com/en/players/c5942695/Rolando-Aarons,january,2017-18,2017-18,Serie A,Hellas Verona,Newcastle Utd,"MF,FW",21.0,517.0,139.0,0.2688588007736944,0.2,0.1,0.2,0.0,0.03481624758220503,0.06474820143884892,0.03481624758220503,0.0,0.06963249516441006,1.8597122302158273,0.0,0.029931953856643892,-0.03481624758220503,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Roque Mesa,7c4243d4,https://fbref.com/en/players/7c4243d4/Roque-Mesa,january,2017-18,2017-18,La Liga,Sevilla,Swansea City,MF,28.0,343.0,754.0,2.198250728862974,0.1,0.2,0.4,0.2,0.026239067055393587,0.023872679045092837,0.10495626822157435,0.023872679045092837,0.13119533527696794,0.909814323607427,0.22745358090185674,-0.0023663880103007504,-0.08108358917648151,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
