prior_league,n,p25_npxg_xag_p90,p75_npxg_xag_p90
Bundesliga,38,0.09587019960857404,0.5696030813302239
Serie A,41,0.0972972972972973,0.27292418772563176
Ligue 1,69,0.07468879668049792,0.23403441682600384
La Liga,46,0.10552615575711309,0.3586765503449571
