player,understat_player_id,window,prior_season_end_year,pl_season_end_year,prior_season,pl_season,prior_league,prior_minutes,pl_minutes,prior_npxg,pl_npxg,prior_xa,pl_xa,prior_npxg_p90,pl_npxg_p90,prior_xa_p90,pl_xa_p90,prior_npxg_xa_p90,ratio_npxg,ratio_xa,diff_npxg,diff_xa,source,meets_900,meets_450
Divock Origi,484,summer,2018,2019,2017-18,2018-19,Bundesliga,1962.0,357.0,6.295476487837729,2.2430996075272556,1.0788963902741668,0.1880110949277877,0.2887833251301711,0.5654872960152746,0.04949066010431958,0.04739775502381203,0.33827398523449065,1.958171566036153,0.9577111100135663,0.2767039708851035,-0.002092905080507551,understat_roster_shots,False,False
Fabian Schär,76,summer,2018,2019,2017-18,2018-19,La Liga,2221.0,2007.0,3.2088340101763597,2.1653413930907837,0.7313738092780112,0.7358659468591207,0.13002929352358056,0.097100510900932,0.029636939592535348,0.032998472953323796,0.1596662331161159,0.7467587362021851,1.1134237680072445,-0.03292878262264856,0.0033615333607884476,understat_roster_shots,True,True
Fabinho,3420,summer,2018,2019,2017-18,2018-19,Ligue 1,3060.0,2006.0,2.130308567546307,1.1445510741323226,4.252503065392374,1.308382518589496,0.06265613433959727,0.051350746097661534,0.12507361957036395,0.058701110006507795,0.18772975390996122,0.8195645428640659,0.4693324636174274,-0.011305388241935735,-0.06637250956385615,understat_roster_shots,True,True
Felipe Anderson,1208,summer,2018,2019,2017-18,2018-19,Serie A,1139.0,3073.0,2.751287831924855,5.527915947139261,4.387357499450444,6.779623327776789,0.21739763377808335,0.16189796135455045,0.34667442928054437,0.19855714269440644,0.5640720630586278,0.7447089397477701,0.572748163475666,-0.0554996724235329,-0.14811728658613793,understat_roster_shots,True,True
Florin Andone,4068,summer,2018,2019,2017-18,2018-19,La Liga,1629.0,861.0,10.513241458684204,3.488338589668273,1.0299033019691701,0.0960533991456031,0.5808420695405638,0.36463469578414004,0.05690073491542376,0.010040424997798234,0.6377428044559876,0.6277690871678077,0.17645510225346198,-0.2162073737564238,-0.04686030991762553,understat_roster_shots,False,True
Franck Zambo,6434,summer,2018,2019,2017-18,2018-19,Ligue 1,2429.0,1515.0,1.1478705992922174,0.6529500167816868,3.4323829095810643,0.25171898771077367,0.0425312284628652,0.038789109907822986,0.12717762942045938,0.01495360323034299,0.16970885788332457,0.9120148020575157,0.11758045261958129,-0.003742118555042216,-0.11222402619011639,understat_roster_shots,True,True
Gonzalo Higuaín,1293,summer,2018,2019,2017-18,2018-19,Serie A,2811.0,1100.0,11.88912269286811,5.379233302548526,3.2216845341026774,1.4263600837439294,0.3806549421409214,0.4401190883903339,0.103148917847471,0.11670218866995787,0.48380385998839237,1.1562153532408321,1.131395181891568,0.05946414624941254,0.013553270822486863,understat_roster_shots,True,True
Håvard Nordtveit,202,summer,2018,2019,2017-18,2018-19,Bundesliga,958.0,361.0,0.42655799910426123,0.0,0.0605858005583286,0.1195162981748579,0.04007329845447131,0.0,0.005691776670406654,0.0297963070242028,0.045765075124877964,0.0,5.234974727508762,-0.04007329845447131,0.024104530353796148,understat_roster_shots,False,False
Isaac Mbenza,5662,summer,2018,2019,2017-18,2018-19,Ligue 1,2090.0,956.0,7.547269587405024,0.902850505895912,1.1940422980114809,0.9807284232228993,0.3250020396490202,0.08499638653831808,0.0514180893880542,0.09232798963395496,0.3764201290370744,0.2615257019005429,1.7956324463391131,-0.2400056531107021,0.04090990024590076,understat_roster_shots,True,True
Isaac Success,1724,summer,2018,2019,2017-18,2018-19,La Liga,498.0,1015.0,0.413423893973231,3.287550213746725,1.6377607882022858,3.0131800845265384,0.0747151615614273,0.29150691550463576,0.29598086533776247,0.26717852966245165,0.3706960268991898,3.9015764593505224,0.9026885212919333,0.21679175394320846,-0.02880233567531082,understat_roster_shots,False,True
Issa Diop,3203,summer,2018,2019,2017-18,2018-19,Ligue 1,3060.0,2970.0,1.8938201731070867,1.260734125971794,0.4691642820835113,0.1829817984253167,0.05570059332667902,0.038204064423387696,0.013798949473044449,0.005544902982585354,0.06949954279972347,0.6858825398739339,0.4018351537134796,-0.01749652890329132,-0.008254046490459094,understat_roster_shots,True,True
