slice,n,talent_rule,npxg_n,npxg_n_ratio,npxg_mean_ratio,npxg_median_ratio,npxg_p25_ratio,npxg_p75_ratio,npxg_share_ratio_lt_1,npxg_mean_diff,npxg_median_diff,xag_n,xag_n_ratio,xag_mean_ratio,xag_median_ratio,xag_p25_ratio,xag_p75_ratio,xag_share_ratio_lt_1,xag_mean_diff,xag_median_diff,mean_prior_npxg_p90,mean_pl_npxg_p90,mean_prior_xag_p90,mean_pl_xag_p90,median_minutes_ratio,share_dest_big6
pooled_summer_900,194,within_source_league_quartile_summer_900,194,192,1.0600254414835308,0.7813760726063752,0.5189702117073611,1.2532525940798123,0.6510416666666666,-0.01769075412456115,-0.01313689861414985,194,192,1.1212859691610964,0.7744398143886886,0.512112511268558,1.2655821411839774,0.6354166666666666,-0.018704535862510644,-0.016207855110696216,0.13917254239011573,0.12148178826555456,0.10523179671312721,0.08652726085061657,0.8365590090900399,0.3402061855670103
pooled_summer_450,261,,261,259,1.0453220183894931,0.7766225582860744,0.5175910747295551,1.2479714466431737,0.6486486486486487,-0.02548433871566926,-0.014540936633102308,261,257,1.1354123736152133,0.812648456057007,0.49577922077922076,1.2812312851838543,0.6147859922178989,-0.017635966999571023,-0.014599302468189468,0.15399632931567764,0.1285119906000084,0.11140760326895327,0.09377163626938226,0.7969618377176733,0.3103448275862069
january_900,16,,16,16,1.1993470686669652,0.9491753774581115,0.7872034610742078,1.1788619993451928,0.625,-0.007067310926119516,-0.004376915959811373,16,16,1.046293366303917,0.8746997462772395,0.6294593901543564,1.3339603781507683,0.5625,0.002822330496566829,-0.004808312105436299,0.20804752559062853,0.200980214664509,0.13165948787126164,0.13448181836782847,0.8946933156057968,0.3125
january_450,36,,36,36,0.9412932691271673,0.8176565722695494,0.6017005966932097,1.1449925820130424,0.6666666666666666,-0.03294619948226227,-0.01744009976356218,36,35,1.1022471400739613,0.8455535390199637,0.48787315441352164,1.3601789039248784,0.5714285714285714,-0.011075915637273462,-0.009231138769440872,0.2099914440285428,0.17704524454628057,0.11286963752911533,0.1017937218918419,1.002935164939633,0.3888888888888889
talent_top_summer_900,51,,51,51,0.9190667535801067,0.8210067277542696,0.6657154068769313,1.1807791066551443,0.6274509803921569,-0.042118948595786104,-0.04178802950029614,51,51,0.863143838513773,0.7598490179770966,0.5671191569746561,1.0067053525671708,0.7450980392156863,-0.04415784260783166,-0.04735489398158063,0.320137531824757,0.27801858322897094,0.1940677544002025,0.14990991179237081,0.8054835124120044,0.37254901960784315
talent_average_summer_900,94,,94,94,0.9038870363309399,0.7581307723744548,0.41002794437837176,1.1020556660369534,0.7021276595744681,-0.01586377434888582,-0.022363934814567617,94,94,0.974439938804959,0.6662521369256238,0.4445535525869427,1.2618997717564204,0.6382978723404256,-0.015934564112191175,-0.02284496045058019,0.09359769413915076,0.07773391979026494,0.09820218864721914,0.08226762453502798,0.8486825892987264,0.3404255319148936
talent_bottom_summer_900,49,,49,47,1.5252574237690253,0.7539401343921807,0.5271436216390192,1.7416290635120668,0.574468085106383,0.004229691163581532,-0.00528169014084507,49,47,1.6950897035545094,0.9885308574549427,0.5066680811054456,2.408215492047492,0.5106382978723404,0.002473858004455508,0.0001966078779504386,0.03825052758244224,0.042480218746023764,0.02625525214485213,0.028729110149307645,0.8366366366366367,0.30612244897959184
league_La Liga_talent_top_summer_900,12,,12,12,1.0129281884958212,1.1299504960386768,0.7786257670352181,1.3279834180689554,0.4166666666666667,-0.016067822313830325,0.04347559519824479,12,12,0.8442813678633541,0.8623020518304719,0.562826455785839,1.1715104339094782,0.6666666666666666,-0.04697808521970359,-0.02633750964894012,0.35159308908657144,0.33552526677274114,0.18819742176133547,0.14121933654163188,0.794931609334546,0.4166666666666667
league_La Liga_talent_average_summer_900,22,,22,22,0.9555269988250502,0.7887368043229397,0.4945491227967308,1.234236544729837,0.6363636363636364,-0.006892311477807816,-0.021118807296764547,22,22,1.2643214886400422,1.170500429286446,0.6292322554555394,1.6225727294496455,0.4090909090909091,0.0011270895468107694,0.0081933455133013,0.10342705237955917,0.09653474090175135,0.09914123314930379,0.10026832269611456,0.9049070970091275,0.36363636363636365
league_La Liga_talent_bottom_summer_900,12,,12,11,1.2974102583427676,1.2839327960222944,0.5994852107225608,1.6119363629121888,0.45454545454545453,0.0074609588853490555,0.013400892365077634,12,12,1.3555541022932756,0.8438225028859122,0.488831191263826,1.7295709776585202,0.5833333333333334,0.0012082741331886707,-0.007486608147185996,0.040905755469987586,0.04836671435533665,0.036660868155939705,0.037869142289128375,0.8361036835605775,0.25
league_Bundesliga_talent_top_summer_900,10,,10,10,0.8200383156488726,0.7818395837056289,0.6617673026928925,0.9740158159365476,0.7,-0.07154571885472957,-0.07816458463444881,10,10,0.60383157342889,0.6091383557016408,0.47652553754972493,0.7016139751615105,1.0,-0.0977963590795955,-0.09712949949492819,0.4340181155946846,0.3624723967399551,0.2436681037536617,0.1458717446740662,0.926191810580415,0.5
league_Bundesliga_talent_average_summer_900,18,,18,18,0.7258785206982534,0.6305574079413324,0.46132629978565376,0.8852127789201751,0.8333333333333334,-0.04151523022264672,-0.047801335978056775,18,18,0.9484722256455185,0.6379359911525009,0.3580002539715976,1.288734426437137,0.6666666666666666,-0.028149751067512923,-0.02997772376076813,0.15547660005362107,0.11396136983097434,0.12878262181080327,0.10063287074329035,0.8486825892987264,0.6111111111111112
