num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw2_avg_fdr,gw2_max_fdr,gw3_avg_fdr,gw1_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
3,3+1+1,CHE-TOT-SUN-SUN-SUN,CHE,TOT,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.8091
2,3+2,CHE-CHE-MUN-MUN-MUN,CHE,CHE,MUN,MUN,MUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.9669
3,2+2+1,CHE-CHE-MUN-MUN-SUN,CHE,CHE,MUN,MUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.9669
3,2+2+1,CHE-CHE-MUN-SUN-SUN,CHE,CHE,MUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.9669
2,3+2,CHE-CHE-SUN-SUN-SUN,CHE,CHE,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.9669
3,3+1+1,CHE-MUN-MUN-MUN-SUN,CHE,MUN,MUN,MUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.978
3,2+2+1,CHE-MUN-MUN-SUN-SUN,CHE,MUN,MUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.978
3,3+1+1,CHE-MUN-SUN-SUN-SUN,CHE,MUN,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.978
2,3+2,MUN-MUN-MUN-SUN-SUN,MUN,MUN,MUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,1.0
2,3+2,MUN-MUN-SUN-SUN-SUN,MUN,MUN,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,1.0
3,3+1+1,BRE-HUL-MUN-MUN-MUN,BRE,HUL,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,BRE-HUL-MUN-MUN-SUN,BRE,HUL,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,BRE-HUL-MUN-SUN-SUN,BRE,HUL,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
3,3+1+1,BRE-HUL-SUN-SUN-SUN,BRE,HUL,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
3,3+1+1,HUL-LIV-MUN-MUN-MUN,HUL,LIV,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,HUL-LIV-MUN-MUN-SUN,HUL,LIV,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,HUL-LIV-MUN-SUN-SUN,HUL,LIV,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
3,3+1+1,HUL-LIV-SUN-SUN-SUN,HUL,LIV,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
3,3+1+1,HUL-MCI-MUN-MUN-MUN,HUL,MCI,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,HUL-MCI-MUN-MUN-SUN,HUL,MCI,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,HUL-MCI-MUN-SUN-SUN,HUL,MCI,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
