gkp1,price1,gkp2,price2,total_price,gkp1_solo_pts,gkp2_solo_pts,best_solo_pts,fdr_rotation_pts,fdr_gain_vs_best_solo,hindsight_pts,hindsight_gain_vs_best_solo,bench_pts_wasted,gkp1_starts,gkp2_starts
Henderson,5.1,Perri,4.4,9.5,131,43,131,95,-36,139,8,77,19,19
Lammens,5.1,Hermansen,4.2,9.3,109,76,109,94,-15,141,32,91,22,16
Vicario,4.7,Hermansen,4.2,8.9,90,76,90,93,3,150,60,73,21,17
Dúbravka,4.0,José Sá,4.2,8.2,96,68,96,90,-6,126,30,62,21,17
Sánchez,4.8,Perri,4.4,9.2,113,43,113,89,-24,125,12,65,25,13
Martinez,5.0,Hermansen,4.2,9.2,120,76,120,89,-31,169,49,107,19,19
Petrović,4.6,Perri,4.4,9.0,124,43,124,89,-35,144,20,77,21,17
Dúbravka,4.0,Hermansen,4.2,8.2,96,76,96,89,-7,149,53,83,24,14
Darlow,4.0,Hermansen,4.2,8.2,71,76,76,87,11,110,34,54,21,17
Vicario,4.7,José Sá,4.2,8.9,90,68,90,87,-3,124,34,59,23,15
Sánchez,4.8,Vicario,4.7,9.5,113,90,113,86,-27,148,35,115,20,18
Hermansen,4.2,José Sá,4.2,8.4,76,68,76,85,9,111,35,47,21,17
Darlow,4.0,Sels,4.6,8.6,71,105,105,81,-24,125,20,89,20,18
Perri,4.4,Roefs,4.8,9.2,43,136,136,81,-55,142,6,98,21,17
Kelleher,4.8,Perri,4.4,9.2,143,43,143,81,-62,159,16,105,19,19
Darlow,4.0,Vicario,4.7,8.7,71,90,90,80,-10,133,43,75,23,15
Dúbravka,4.0,Areola,4.2,8.2,96,51,96,77,-19,110,14,70,24,14
Dúbravka,4.0,Perri,4.4,8.4,96,43,96,76,-20,116,20,63,22,16
Martinez,5.0,Areola,4.2,9.2,120,51,120,76,-44,137,17,95,19,19
Pope,5.0,Areola,4.2,9.2,96,51,96,75,-21,118,22,72,19,19
