player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,xp_per_m_season,n_gameweeks,in_s1,in_s5,in_user
525,Fernandes,TOT,MID,Regular Starter,eligible,6.0,3.8,104.03,2356.0,62.0,3.9739,16.49,372.0,62.0,3.989,17.338333333333335,38,False,False,False
45,McGinn,AVL,MID,Regular Starter,eligible,5.5,2.7,103.95,2356.0,62.0,3.9708,16.47,372.0,62.0,3.9835,18.900000000000002,38,False,False,False
331,Gudmundsson,LEE,DEF,Rotation,not_role_eligible,4.5,0.5,55.29,1254.0,33.0,3.9685,8.59,198.0,33.0,3.9037,12.286666666666667,38,False,False,False
529,Roefs,SUN,GKP,Nailed Starter,eligible,5.0,5.3,129.82,2945.0,77.5,3.9674,20.96,465.0,77.5,4.0571,25.964,38,True,False,False
116,Dunk,BHA,DEF,Nailed Starter,eligible,4.5,0.7,129.65,2945.0,77.5,3.9621,20.73,465.0,77.5,4.0125,28.811111111111114,38,False,False,False
172,Wilson,COV,GKP,Rotation,not_role_eligible,4.5,0.7,55.19,1254.0,33.0,3.9611,8.77,198.0,33.0,3.988,12.264444444444443,38,False,False,False
260,Wilson,LEE,MID,Nailed Starter,eligible,6.5,8.6,129.53,2945.0,77.5,3.9586,20.24,465.0,77.5,3.9176,19.927692307692308,38,False,False,False
549,Talbi,SUN,MID,Rotation,not_role_eligible,5.5,0.2,55.08,1254.0,33.0,3.9534,8.74,198.0,33.0,3.9734,10.014545454545454,38,False,False,False
102,Yarmoliuk,BRE,MID,Rotation,not_role_eligible,5.0,1.5,55.08,1254.0,33.0,3.953,8.64,198.0,33.0,3.9282,11.016,38,False,False,False
330,Bogle,LEE,DEF,Regular Starter,eligible,4.5,0.4,103.41,2356.0,62.0,3.9502,16.02,372.0,62.0,3.8752,22.98,38,False,False,False
158,Gittens,CHE,MID,Regular Starter,eligible,6.0,0.1,103.13,2356.0,62.0,3.9394,16.33,372.0,62.0,3.952,17.188333333333333,38,False,False,False
460,Willock,NEW,MID,Rotation,not_role_eligible,5.0,0.1,54.74,1254.0,33.0,3.9287,8.84,198.0,33.0,4.0159,10.948,38,False,False,False
289,Crooks,HUL,MID,Regular Starter,eligible,4.5,0.6,102.83,2356.0,62.0,3.9283,16.14,372.0,62.0,3.9047,22.85111111111111,38,True,False,False
82,Kelleher,BRE,GKP,Nailed Starter,eligible,5.0,5.6,128.53,2945.0,77.5,3.928,19.77,465.0,77.5,3.8255,25.706,38,False,False,False
544,Xhaka,SUN,MID,Nailed Starter,eligible,5.5,6.1,128.52,2945.0,77.5,3.9277,20.42,465.0,77.5,3.9531,23.36727272727273,38,False,False,True
185,Sakamoto,COV,MID,Regular Starter,eligible,5.0,0.1,102.81,2356.0,62.0,3.9275,16.33,372.0,62.0,3.9512,20.562,38,False,False,False
350,A.Becker,LIV,GKP,Nailed Starter,eligible,5.5,4.1,128.51,2945.0,77.5,3.9272,20.9,465.0,77.5,4.0445,23.365454545454543,38,True,False,False
321,Walle Egeli,IPS,FWD,Regular Starter,eligible,4.5,2.4,102.8,2356.0,62.0,3.927,16.49,372.0,62.0,3.9893,22.844444444444445,38,True,True,False
417,Dalot,MUN,DEF,Nailed Starter,eligible,5.0,3.1,128.29,2945.0,77.5,3.9204,21.0,465.0,77.5,4.0652,25.657999999999998,38,False,False,False
159,Caicedo,CHE,MID,Nailed Starter,eligible,5.5,3.8,128.14,2945.0,77.5,3.9159,20.27,465.0,77.5,3.9233,23.298181818181817,38,False,False,False
204,Mitchell,CRY,DEF,Nailed Starter,eligible,4.5,7.1,128.02,2945.0,77.5,3.9124,20.28,465.0,77.5,3.9258,28.44888888888889,38,False,False,True
259,Diop,IPS,DEF,Regular Starter,eligible,4.0,20.1,102.34,2356.0,62.0,3.9093,16.58,372.0,62.0,4.0112,25.585,38,False,False,False
