player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note
547,461199,Mundle,SUN,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,none,0,0.0,fallback_baseline,0.15,0.15,3.1,3.1,0.0,1.37,Position baseline (MID); no usable FPL season and no external package
7,499169,Lewis-Skelly,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,2,2059.0,fpl_recency_50_50,0.0117,0.0298,3.3982,3.3982,0.0,1.0451,50% latest>=900 2024/25 (1362m) + 50% mean other usable [2025/26(697m)]
20,616077,Dowman,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,external_3season_research,0.22,0.12,4.5,4.5,0.0,1.3,External best-guess: Dowman academy MID; tempered from thin 2025/26 FPL sample
87,191866,Ajer,BRE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,3,5064.0,fpl_recency_50_50,0.0475,0.0588,7.5815,7.5815,0.0,1.5969,"50% latest>=900 2025/26 (1805m) + 50% mean other usable [2023/24(1826m),2024/25(1433m)]"
110,472739,Rushworth,COV,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,external_3season_research,0.0,0.0,0.0,0.0,3.1,1.41,"External CHA 2023/24 Swansea #1: Rushworth ~3.10 saves/90, GA90 1.41 (FBref)"
206,515621,Chadi Riad,CRY,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,550.0,fpl_equal_weight_thin_latest,0.054,0.0213,7.3636,7.3636,0.0,1.3091,Equal-weight usable ≥450 (no latest>=900): [2025/26(550m)]
289,101282,Crooks,HUL,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,external_3season_research,0.14,0.09,9.0,9.0,0.0,1.4,External best-guess: Crooks CHA box-mid; CBITR Defcon proxy
324,232457,Mehmeti,IPS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,0,0.0,external_3season_research,0.18,0.14,5.5,5.5,0.0,1.4,External best-guess: Mehmeti Basel/CHA attacking MID proxy
369,611922,Ngumoha,LIV,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,547.0,fpl_equal_weight_thin_latest,0.2205,0.3307,4.936,4.936,0.0,1.9744,Equal-weight usable ≥450 (no latest>=900): [2025/26(547m)]
392,448514,Aït-Nouri,MCI,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,3,6410.0,fpl_recency_50_50,0.0742,0.1394,5.8091,5.8091,0.0,1.2709,"50% latest>=900 2025/26 (971m) + 50% mean other usable [2023/24(2327m),2024/25(3112m)]"
420,550864,Yoro,MUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,2,2890.0,fpl_recency_50_50,0.062,0.0212,7.6656,7.6656,0.0,1.7894,50% latest>=900 2025/26 (1730m) + 50% mean other usable [2024/25(1160m)]
283,449428,Jacob,NEW,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,0,0.0,external_3season_research,0.04,0.05,8.0,8.0,0.0,1.3,External best-guess: Jacob NEW DEF; CBIT Defcon proxy
321,557012,Walle Egeli,IPS,FWD,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,external_3season_research,0.34,0.14,2.4,2.4,0.0,1.35,External best-guess: Sindre Walle Egeli Danish Superliga FWD rates → IPS proxy
339,180135,Longstaff,LEE,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,3,4528.0,fpl_recency_50_50,0.1279,0.1132,9.418,9.418,0.0,1.6237,"50% latest>=900 2025/26 (1003m) + 50% mean other usable [2023/24(2742m),2024/25(783m)]"
415,596777,Dorgu,MUN,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,2,2280.0,fpl_recency_50_50,0.0977,0.1255,5.9554,5.9554,0.0,1.2679,50% latest>=900 2025/26 (1440m) + 50% mean other usable [2024/25(840m)]
462,636852,Steur,NEW,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,external_3season_research,0.12,0.14,5.8,5.8,0.0,1.3,External best-guess: Sean Steur Ajax/NEW progressive midfield proxy
539,167512,O'Nien,SUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,565.0,fpl_equal_weight_thin_latest,0.0239,0.0207,6.8496,6.8496,0.0,1.115,Equal-weight usable ≥450 (no latest>=900): [2025/26(565m)]
523,499721,Moore,TOT,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,external_3season_research,0.22,0.16,4.1,4.1,0.0,1.3,External best-guess: Mikey Moore Spurs academy / creative MID proxy
