horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,avg_fdr_corr,gkp_strategy,gkp_pairing,def_lineup
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,94.09,26.639,88.84,541.29,28.49,1.92,100.0,0.4881,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,94.02,26.611,88.93,540.76,28.46,1.92,100.0,0.4763,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,94.0,26.613,88.86,540.8,28.46,1.91,100.0,0.4854,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,93.97,26.641,88.52,541.33,28.49,1.91,100.0,0.5306,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Ajayi (HUL)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,93.62,26.652,87.53,541.53,28.5,1.91,97.3,0.4864,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Greaves (IPS)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.55,26.502,88.86,541.38,28.49,1.92,100.0,0.4848,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Aina (NFO)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.46,26.48,88.84,540.97,28.47,1.92,100.0,0.4881,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Hume (SUN)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.46,26.455,89.1,540.49,28.45,1.92,100.0,0.4537,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + O'Nien (SUN)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.44,26.503,88.57,541.4,28.49,1.91,100.0,0.5235,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Justin (LEE)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.41,26.52,88.33,541.73,28.51,1.91,100.0,0.5563,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Justin (LEE)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.4,26.456,88.93,540.51,28.45,1.91,100.0,0.4758,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Castagne (FUL) + Greaves (IPS)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.37,26.459,88.84,540.57,28.45,1.91,100.0,0.4877,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Ajayi (HUL)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.37,26.45,88.93,540.41,28.44,1.92,100.0,0.4763,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Hume (SUN)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.35,26.496,88.41,541.27,28.49,1.91,100.0,0.5456,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Heaven (MUN)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.35,26.478,88.6,540.93,28.47,1.84,100.0,0.5205,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV)
gw1_19,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.35,26.451,88.86,540.42,28.44,1.83,100.0,0.4849,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS)
