horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_19,Mid-Value Set & Forget,Single S&F,Kelleher (BRE) + Fodder (£4.0m),Kelleher,BRE,5.0,Fodder,-,4.0,9.0,19,110.35,5.81,5.666,56.09,25.98,3.18,36.8,0.0,1.0,0.7457,4.83
full_season,Mid-Value Set & Forget,Single S&F,Kelleher (BRE) + Fodder (£4.0m),Kelleher,BRE,5.0,Fodder,-,4.0,9.0,38,220.26,5.8,5.654,54.57,22.68,3.2,31.6,0.0,1.0,0.7494,9.52
gw1_3,Mid-Value Set & Forget,Single S&F,Sánchez (CHE) + Fodder (£4.0m),Sánchez,CHE,5.0,Fodder,-,4.0,9.0,3,16.07,5.36,5.214,47.3,23.37,3.21,33.3,0.0,1.0,0.7772,0.67
gw4_19,Mid-Value Set & Forget,Single S&F,Sánchez (CHE) + Fodder (£4.0m),Sánchez,CHE,5.0,Fodder,-,4.0,9.0,16,90.16,5.63,5.492,54.96,30.58,3.13,43.8,6.2,1.0,0.7684,3.71
gw1_19,Mid-Value Set & Forget,Single S&F,Sánchez (CHE) + Fodder (£4.0m),Sánchez,CHE,5.0,Fodder,-,4.0,9.0,19,106.23,5.59,5.448,53.75,29.44,3.14,42.1,5.3,1.0,0.7698,4.37
full_season,Mid-Value Set & Forget,Single S&F,Sánchez (CHE) + Fodder (£4.0m),Sánchez,CHE,5.0,Fodder,-,4.0,9.0,38,212.69,5.6,5.455,55.15,32.67,3.11,47.4,5.3,1.0,0.7674,8.84
gw1_3,Mid-Value Set & Forget,Single S&F,Henderson (CRY) + Fodder (£4.0m),Henderson,CRY,5.0,Fodder,-,4.0,9.0,3,16.61,5.54,5.394,57.32,40.71,3.18,66.7,0.0,1.0,0.7467,0.76
gw4_19,Mid-Value Set & Forget,Single S&F,Henderson (CRY) + Fodder (£4.0m),Henderson,CRY,5.0,Fodder,-,4.0,9.0,16,92.16,5.76,5.617,58.92,35.12,3.07,50.0,6.2,1.0,0.7457,4.07
gw1_19,Mid-Value Set & Forget,Single S&F,Henderson (CRY) + Fodder (£4.0m),Henderson,CRY,5.0,Fodder,-,4.0,9.0,19,108.76,5.72,5.582,58.67,36.0,3.08,52.6,5.3,1.0,0.7459,4.83
full_season,Mid-Value Set & Forget,Single S&F,Henderson (CRY) + Fodder (£4.0m),Henderson,CRY,5.0,Fodder,-,4.0,9.0,38,216.71,5.7,5.561,57.58,34.22,3.1,50.0,2.6,1.0,0.7515,9.44
gw1_3,Premium Set & Forget,Single S&F,Pickford (EVE) + Fodder (£4.0m),Pickford,EVE,5.5,Fodder,-,4.0,9.5,3,16.63,5.54,5.26,39.47,1.82,3.42,0.0,0.0,1.0,0.7765,0.67
gw4_19,Premium Set & Forget,Single S&F,Pickford (EVE) + Fodder (£4.0m),Pickford,EVE,5.5,Fodder,-,4.0,9.5,16,90.23,5.64,5.355,47.75,18.45,3.38,31.2,0.0,1.0,0.7641,3.77
gw1_19,Premium Set & Forget,Single S&F,Pickford (EVE) + Fodder (£4.0m),Pickford,EVE,5.5,Fodder,-,4.0,9.5,19,106.86,5.62,5.34,46.44,15.82,3.39,26.3,0.0,1.0,0.7661,4.44
full_season,Premium Set & Forget,Single S&F,Pickford (EVE) + Fodder (£4.0m),Pickford,EVE,5.5,Fodder,-,4.0,9.5,38,214.23,5.64,5.353,47.59,18.13,3.34,28.9,0.0,1.0,0.7617,9.05
gw1_3,Budget Set & Forget,Single S&F,Leno (FUL) + Fodder (£4.0m),Leno,FUL,4.5,Fodder,-,4.0,8.5,3,17.0,5.67,5.667,64.29,46.41,2.94,66.7,0.0,1.0,0.7206,0.84
gw4_19,Budget Set & Forget,Single S&F,Leno (FUL) + Fodder (£4.0m),Leno,FUL,4.5,Fodder,-,4.0,8.5,16,90.34,5.65,5.646,58.07,31.77,3.08,43.8,0.0,1.0,0.7422,4.12
gw1_19,Budget Set & Forget,Single S&F,Leno (FUL) + Fodder (£4.0m),Leno,FUL,4.5,Fodder,-,4.0,8.5,19,107.34,5.65,5.65,59.05,34.08,3.05,47.4,0.0,1.0,0.7388,4.96
full_season,Budget Set & Forget,Single S&F,Leno (FUL) + Fodder (£4.0m),Leno,FUL,4.5,Fodder,-,4.0,8.5,38,214.22,5.64,5.637,57.78,31.42,3.11,44.7,0.0,1.0,0.7434,9.75
gw1_3,Budget Set & Forget,Single S&F,Scherpen (IPS) + Fodder (£4.0m),Scherpen,IPS,4.5,Fodder,-,4.0,8.5,3,16.28,5.43,5.425,51.25,24.18,3.18,33.3,0.0,1.0,0.7556,0.73
gw4_19,Budget Set & Forget,Single S&F,Scherpen (IPS) + Fodder (£4.0m),Scherpen,IPS,4.5,Fodder,-,4.0,8.5,16,84.76,5.3,5.297,56.1,41.78,3.05,62.5,0.0,1.0,0.7459,4.07
gw1_19,Budget Set & Forget,Single S&F,Scherpen (IPS) + Fodder (£4.0m),Scherpen,IPS,4.5,Fodder,-,4.0,8.5,19,101.03,5.32,5.318,55.33,39.0,3.07,57.9,0.0,1.0,0.7474,4.8
full_season,Budget Set & Forget,Single S&F,Scherpen (IPS) + Fodder (£4.0m),Scherpen,IPS,4.5,Fodder,-,4.0,8.5,38,201.0,5.29,5.289,52.67,33.55,3.13,50.0,0.0,1.0,0.7543,9.33
gw1_3,Premium Set & Forget,Single S&F,Donnarumma (MCI) + Fodder (£4.0m),Donnarumma,MCI,5.5,Fodder,-,4.0,9.5,3,18.4,6.13,5.85,68.43,48.94,2.83,66.7,0.0,1.0,0.5512,1.35
gw4_19,Premium Set & Forget,Single S&F,Donnarumma (MCI) + Fodder (£4.0m),Donnarumma,MCI,5.5,Fodder,-,4.0,9.5,16,98.33,6.15,5.861,70.86,54.55,2.64,68.8,12.5,1.0,0.523,7.63
gw1_19,Premium Set & Forget,Single S&F,Donnarumma (MCI) + Fodder (£4.0m),Donnarumma,MCI,5.5,Fodder,-,4.0,9.5,19,116.73,6.14,5.859,70.48,53.66,2.67,68.4,10.5,1.0,0.5274,8.98
full_season,Premium Set & Forget,Single S&F,Donnarumma (MCI) + Fodder (£4.0m),Donnarumma,MCI,5.5,Fodder,-,4.0,9.5,38,235.37,6.19,5.909,74.42,61.37,2.56,78.9,13.2,1.0,0.5137,18.48
gw1_3,Mid-Value Set & Forget,Single S&F,Trafford (LEE) + Fodder (£4.0m),Trafford,LEE,5.0,Fodder,-,4.0,9.0,3,16.23,5.41,5.268,58.45,48.94,2.83,66.7,0.0,1.0,0.7483,0.76
gw4_19,Mid-Value Set & Forget,Single S&F,Trafford (LEE) + Fodder (£4.0m),Trafford,LEE,5.0,Fodder,-,4.0,9.0,16,86.4,5.4,5.258,60.52,54.55,2.64,68.8,12.5,1.0,0.7186,4.5
gw1_19,Mid-Value Set & Forget,Single S&F,Trafford (LEE) + Fodder (£4.0m),Trafford,LEE,5.0,Fodder,-,4.0,9.0,19,102.63,5.4,5.259,60.2,53.66,2.67,68.4,10.5,1.0,0.7232,5.26
full_season,Mid-Value Set & Forget,Single S&F,Trafford (LEE) + Fodder (£4.0m),Trafford,LEE,5.0,Fodder,-,4.0,9.0,38,206.62,5.44,5.295,63.89,61.37,2.56,78.9,13.2,1.0,0.7096,11.04
gw1_3,Mid-Value Set & Forget,Single S&F,Lammens (MUN) + Fodder (£4.0m),Lammens,MUN,5.0,Fodder,-,4.0,9.0,3,18.37,6.12,5.981,79.34,70.58,2.62,100.0,0.0,1.0,0.6539,1.04
gw4_19,Mid-Value Set & Forget,Single S&F,Lammens (MUN) + Fodder (£4.0m),Lammens,MUN,5.0,Fodder,-,4.0,9.0,16,93.31,5.83,5.69,63.08,42.43,2.89,56.2,6.2,1.0,0.6826,5.08
gw1_19,Mid-Value Set & Forget,Single S&F,Lammens (MUN) + Fodder (£4.0m),Lammens,MUN,5.0,Fodder,-,4.0,9.0,19,111.68,5.88,5.736,65.65,46.87,2.84,63.2,5.3,1.0,0.678,6.12
full_season,Mid-Value Set & Forget,Single S&F,Lammens (MUN) + Fodder (£4.0m),Lammens,MUN,5.0,Fodder,-,4.0,9.0,38,223.82,5.89,5.748,66.57,48.67,2.82,65.8,5.3,1.0,0.6759,12.31
gw1_3,Mid-Value Set & Forget,Single S&F,Pope (NEW) + Fodder (£4.0m),Pope,NEW,5.0,Fodder,-,4.0,9.0,3,18.01,6.0,5.86,55.69,16.67,3.52,33.3,33.3,1.0,0.7721,0.68
gw4_19,Mid-Value Set & Forget,Single S&F,Pope (NEW) + Fodder (£4.0m),Pope,NEW,5.0,Fodder,-,4.0,9.0,16,94.14,5.88,5.742,61.57,36.43,3.14,56.2,0.0,1.0,0.7569,3.89
gw1_19,Mid-Value Set & Forget,Single S&F,Pope (NEW) + Fodder (£4.0m),Pope,NEW,5.0,Fodder,-,4.0,9.0,19,112.15,5.9,5.76,60.61,33.23,3.2,52.6,5.3,1.0,0.7593,4.57
full_season,Mid-Value Set & Forget,Single S&F,Pope (NEW) + Fodder (£4.0m),Pope,NEW,5.0,Fodder,-,4.0,9.0,38,224.73,5.91,5.772,61.6,35.21,3.12,52.6,5.3,1.0,0.7526,9.4
gw1_3,Mid-Value Set & Forget,Single S&F,Sels (NFO) + Fodder (£4.0m),Sels,NFO,5.0,Fodder,-,4.0,9.0,3,18.61,6.2,6.062,63.06,26.45,3.08,33.3,0.0,1.0,0.7355,0.79
gw4_19,Mid-Value Set & Forget,Single S&F,Sels (NFO) + Fodder (£4.0m),Sels,NFO,5.0,Fodder,-,4.0,9.0,16,93.05,5.82,5.673,50.83,12.5,3.52,25.0,0.0,1.0,0.7781,3.55
gw1_19,Mid-Value Set & Forget,Single S&F,Sels (NFO) + Fodder (£4.0m),Sels,NFO,5.0,Fodder,-,4.0,9.0,19,111.66,5.88,5.735,52.63,14.36,3.45,26.3,0.0,1.0,0.7714,4.34
full_season,Mid-Value Set & Forget,Single S&F,Sels (NFO) + Fodder (£4.0m),Sels,NFO,5.0,Fodder,-,4.0,9.0,38,224.09,5.9,5.755,55.16,19.84,3.33,31.6,0.0,1.0,0.76,9.12
gw1_3,Mid-Value Set & Forget,Single S&F,Roefs (SUN) + Fodder (£4.0m),Roefs,SUN,5.0,Fodder,-,4.0,9.0,3,17.52,5.84,5.696,54.25,20.07,3.35,33.3,0.0,1.0,0.7613,0.72
gw4_19,Mid-Value Set & Forget,Single S&F,Roefs (SUN) + Fodder (£4.0m),Roefs,SUN,5.0,Fodder,-,4.0,9.0,16,94.0,5.87,5.733,57.69,27.12,3.28,43.8,0.0,1.0,0.7542,3.93
gw1_19,Mid-Value Set & Forget,Single S&F,Roefs (SUN) + Fodder (£4.0m),Roefs,SUN,5.0,Fodder,-,4.0,9.0,19,111.52,5.87,5.727,57.15,26.0,3.29,42.1,0.0,1.0,0.7553,4.65
full_season,Mid-Value Set & Forget,Single S&F,Roefs (SUN) + Fodder (£4.0m),Roefs,SUN,5.0,Fodder,-,4.0,9.0,38,223.51,5.88,5.74,58.49,28.81,3.22,44.7,0.0,1.0,0.7494,9.52
gw1_3,Budget Set & Forget,Single S&F,Kinsky (TOT) + Fodder (£4.0m),Kinsky,TOT,4.5,Fodder,-,4.0,8.5,3,16.87,5.62,5.624,63.96,47.44,2.9,66.7,0.0,1.0,0.7594,0.72
gw4_19,Budget Set & Forget,Single S&F,Kinsky (TOT) + Fodder (£4.0m),Kinsky,TOT,4.5,Fodder,-,4.0,8.5,16,90.0,5.62,5.625,54.0,22.5,3.21,31.2,6.2,1.0,0.7907,3.35
gw1_19,Budget Set & Forget,Single S&F,Kinsky (TOT) + Fodder (£4.0m),Kinsky,TOT,4.5,Fodder,-,4.0,8.5,19,106.87,5.62,5.625,55.57,26.44,3.16,36.8,5.3,1.0,0.7858,4.07
full_season,Budget Set & Forget,Single S&F,Kinsky (TOT) + Fodder (£4.0m),Kinsky,TOT,4.5,Fodder,-,4.0,8.5,38,214.26,5.64,5.638,57.19,29.91,3.12,42.1,2.6,1.0,0.781,8.32
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,3,23.07,7.69,7.407,71.87,29.68,2.95,33.3,0.0,0.9903,0.516,1.11
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,16,96.66,6.04,5.757,77.0,74.35,2.56,87.5,6.2,-0.153,0.478,4.6
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,19,114.27,6.01,5.73,74.94,70.36,2.62,84.2,5.3,-0.0189,0.484,5.42
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,38,228.61,6.02,5.731,73.63,67.02,2.67,78.9,2.6,-0.0893,0.4933,11.07
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,3,22.91,7.64,7.352,71.87,29.68,2.95,33.3,0.0,0.9903,0.5497,1.06
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,16,96.52,6.03,5.748,76.85,74.35,2.56,87.5,6.2,-0.153,0.5109,4.56
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,19,114.08,6.0,5.719,74.76,70.36,2.62,84.2,5.3,-0.0189,0.517,5.32
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,38,228.01,6.0,5.716,73.37,67.02,2.67,78.9,2.6,-0.0893,0.526,10.62
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,3,22.79,7.6,7.311,74.9,37.24,3.26,33.3,33.3,-0.9975,0.5942,1.07
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,16,98.82,6.18,5.892,71.87,55.75,2.64,62.5,18.8,0.4081,0.5264,5.09
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,19,116.85,6.15,5.865,71.07,54.88,2.64,57.9,21.1,0.2143,0.5371,6.07
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,38,231.27,6.09,5.801,72.05,60.07,2.65,65.8,18.4,0.0096,0.5422,11.65
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kelleher (BRE),Martinez,AVL,5.0,Kelleher,BRE,5.0,10.0,3,24.05,8.02,7.589,73.75,34.38,2.75,33.3,0.0,0.9592,0.5155,1.15
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kelleher (BRE),Martinez,AVL,5.0,Kelleher,BRE,5.0,10.0,16,97.56,6.1,5.671,65.31,48.83,2.85,50.0,0.0,-0.1471,0.5443,4.67
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kelleher (BRE),Martinez,AVL,5.0,Kelleher,BRE,5.0,10.0,19,116.15,6.11,5.686,66.26,50.52,2.82,52.6,0.0,-0.1094,0.5397,5.54
