pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Tzolakis (HUL) + Sels (NFO),Tzolakis,HUL,4.6,Sels,NFO,5.0,9.6,9.5,48.25,50.0,2.539,2.632,10,52.6,4.25
Kelleher (BRE) + Tzolakis (HUL),Kelleher,BRE,5.0,Tzolakis,HUL,4.6,9.6,9.5,48.75,49.0,2.566,2.579,8,42.1,3.25
Martinez (CHE) + Tzolakis (HUL),Martinez,CHE,5.0,Tzolakis,HUL,4.6,9.6,9.5,48.75,50.0,2.566,2.632,7,36.8,3.25
Tzolakis (HUL) + Roefs (SUN),Tzolakis,HUL,4.6,Roefs,SUN,5.0,9.6,9.5,48.75,51.0,2.566,2.684,8,42.1,3.75
Tzolakis (HUL) + Horníček (NEW),Tzolakis,HUL,4.6,Horníček,NEW,5.0,9.6,9.5,50.25,51.0,2.645,2.684,8,42.1,3.75
Henderson (CRY) + Tzolakis (HUL),Henderson,CRY,5.0,Tzolakis,HUL,4.6,9.6,9.5,50.75,52.0,2.671,2.737,7,36.8,3.75
Suzuki (AVL) + Tzolakis (HUL),Suzuki,AVL,5.0,Tzolakis,HUL,4.6,9.6,9.5,51.25,51.0,2.697,2.684,8,42.1,4.25
Tzolakis (HUL) + Lammens (MUN),Tzolakis,HUL,4.6,Lammens,MUN,5.0,9.6,9.5,51.75,54.0,2.724,2.842,6,31.6,5.25
Rushworth (COV) + Donnarumma (MCI),Rushworth,COV,4.5,Donnarumma,MCI,5.5,10.0,10.0,43.25,46.0,2.276,2.421,11,57.9,3.25
Scherpen (IPS) + Donnarumma (MCI),Scherpen,IPS,4.5,Donnarumma,MCI,5.5,10.0,10.0,44.25,47.0,2.329,2.474,10,52.6,3.25
Petrović (BOU) + A.Becker (LIV),Petrović,BOU,4.5,A.Becker,LIV,5.5,10.0,10.0,44.75,46.0,2.355,2.421,12,63.2,3.75
