pair_label,gameweek,gkp1_opp,gkp1_mod_fdr,gkp2_opp,gkp2_mod_fdr,started_gkp,started_fixture,effective_mod_fdr
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",1,LEE (H),1.75,BRE (A),3.25,Sels,LEE (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",2,LIV (A),4.25,NEW (H),1.75,Kinsky,NEW (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",3,TOT (H),2.75,NFO (A),3.25,Sels,TOT (H),2.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",4,AVL (A),4.25,EVE (H),2.75,Kinsky,EVE (H),2.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",5,COV (H),1.75,AVL (H),2.75,Sels,COV (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",6,CRY (A),3.25,MUN (A),4.25,Sels,CRY (A),3.25
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",7,ARS (H),3.75,COV (H),1.75,Kinsky,COV (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",8,IPS (A),2.25,CHE (A),4.25,Sels,IPS (A),2.25
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",9,BRE (A),3.25,CRY (H),2.75,Kinsky,CRY (H),2.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",10,MCI (H),3.75,LEE (A),3.25,Kinsky,LEE (A),3.25
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",11,BOU (A),3.25,IPS (H),1.75,Kinsky,IPS (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",12,CHE (H),3.75,SUN (A),3.25,Kinsky,SUN (A),3.25
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",13,HUL (A),2.25,FUL (H),1.75,Kinsky,FUL (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",14,BHA (H),1.75,ARS (H),3.75,Sels,BHA (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",15,SUN (A),3.25,HUL (A),2.25,Kinsky,HUL (A),2.25
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",16,EVE (H),2.75,LIV (A),4.25,Sels,EVE (H),2.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",17,MUN (A),4.25,BOU (H),2.75,Kinsky,BOU (H),2.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",18,NEW (A),3.25,BHA (H),1.75,Kinsky,BHA (H),1.75
"Sels (NFO, £5.0m) + Kinsky (TOT, £4.5m)",19,FUL (H),1.75,MCI (A),5.25,Sels,FUL (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",1,MCI (A),5.25,SUN (H),1.75,Scherpen,SUN (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",2,EVE (H),2.75,MUN (A),4.25,Petrović,EVE (H),2.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",3,NEW (A),3.25,LIV (H),3.75,Petrović,NEW (A),3.25
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",4,BRE (H),2.75,CRY (A),3.25,Petrović,BRE (H),2.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",5,LIV (H),3.75,EVE (A),3.25,Scherpen,EVE (A),3.25
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",6,CHE (A),4.25,FUL (H),1.75,Scherpen,FUL (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",7,SUN (H),1.75,MCI (A),5.25,Petrović,SUN (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",8,MUN (A),4.25,NFO (H),2.75,Scherpen,NFO (H),2.75
