season,web_name,sp_role,minutes,n_starts,goals,assists,xg,xa,defcon_hits,defcon_hit_rate,xp_attack_per_start,xp_defcon_per_start,xp_cs_per_start,attack_plus_defcon,pts_per_start,total_points,example_set
2025-26,Danso,no_sp,1489,15,0,0,0.62,0.28,12,0.8,0.0,1.6,1.0666666666666667,1.6,4.2,63,high_defcon_no_sp
2025-26,Senesi,no_sp,3288,37,0,6,1.53,4.72,26,0.7027027027027027,0.4864864864864865,1.4054054054054055,1.1891891891891893,1.891891891891892,4.72972972972973,175,high_defcon_no_sp
2025-26,J.Cuenca,no_sp,935,10,0,0,0.05,0.53,7,0.7,0.0,1.4,0.8,1.4,3.9,39,high_defcon_no_sp
2025-26,Mavropanos,no_sp,2532,27,3,0,2.47,0.7,18,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.8888888888888888,2.0,4.518518518518518,122,high_defcon_no_sp
2025-26,Andersen,no_sp,2882,31,0,1,1.43,1.83,20,0.6451612903225806,0.0967741935483871,1.2903225806451613,1.032258064516129,1.3870967741935483,3.967741935483871,123,high_defcon_no_sp
2025-26,Canvot,no_sp,1331,14,0,0,1.48,0.33,9,0.6428571428571429,0.0,1.2857142857142858,1.4285714285714286,1.2857142857142858,5.142857142857143,72,high_defcon_no_sp
2025-26,Ballard,no_sp,2144,22,2,2,2.46,0.63,14,0.6363636363636364,0.8181818181818182,1.2727272727272727,1.0909090909090908,2.090909090909091,5.2727272727272725,116,high_defcon_no_sp
2025-26,Hill,no_sp,2102,23,0,3,0.89,1.16,14,0.6086956521739131,0.391304347826087,1.2173913043478262,1.391304347826087,1.608695652173913,4.782608695652174,110,high_defcon_no_sp
2025-26,Tarkowski,no_sp,3330,37,2,3,2.53,2.1,22,0.5945945945945946,0.5675675675675675,1.1891891891891893,1.1891891891891893,1.7567567567567568,4.594594594594595,170,high_defcon_no_sp
2025-26,Lacroix,no_sp,3085,34,1,2,2.45,0.8300000000000001,20,0.5882352941176471,0.35294117647058826,1.1764705882352942,1.2941176470588236,1.5294117647058825,4.529411764705882,154,high_defcon_no_sp
2025-26,Estève,no_sp,2933,33,0,0,0.73,0.59,19,0.5757575757575758,0.0,1.1515151515151516,0.36363636363636365,1.1515151515151516,2.5757575757575757,85,high_defcon_no_sp
2025-26,Botman,no_sp,1834,20,1,1,1.73,0.86,11,0.55,0.45,1.1,1.0,1.55,4.45,89,high_defcon_no_sp
2025-26,De Cuyper,fk_primary,1404,12,2,3,1.66,4.08,0,0.0,1.75,0.0,1.6666666666666667,1.75,7.0,84,any_setpiece_order
2025-26,James,corner_primary,1957,19,2,6,1.04,3.2,2,0.10526315789473684,1.5789473684210527,0.21052631578947367,1.6842105263157894,1.7894736842105263,6.052631578947368,115,any_setpiece_order
2025-26,Lewis-Potter,fk_primary,1960,21,3,4,3.0100000000000002,2.5100000000000002,0,0.0,1.4285714285714286,0.0,1.7142857142857142,1.4285714285714286,5.476190476190476,115,any_setpiece_order
2025-26,Matheus N.,backup_sp,2861,30,1,8,0.33999999999999997,2.23,4,0.13333333333333333,1.0,0.26666666666666666,1.6,1.2666666666666666,5.133333333333334,154,any_setpiece_order
2025-26,Digne,backup_sp,1842,19,0,7,0.67,3.28,1,0.05263157894736842,1.105263157894737,0.10526315789473684,1.4736842105263157,1.210526315789474,5.105263157894737,97,any_setpiece_order
2025-26,Justin,backup_sp,1893,20,2,1,1.83,1.16,4,0.2,0.75,0.4,1.2,1.15,4.7,94,any_setpiece_order
2025-26,Schär,backup_sp,1089,11,0,0,0.97,0.6000000000000001,6,0.5454545454545454,0.0,1.0909090909090908,1.4545454545454546,1.0909090909090908,4.636363636363637,51,any_setpiece_order
2025-26,Robinson,backup_sp,1487,16,1,0,1.07,1.58,4,0.25,0.375,0.5,1.0,0.875,4.0625,65,any_setpiece_order
2025-26,Pedro Porro,backup_sp,2793,31,1,3,1.05,4.37,8,0.25806451612903225,0.4838709677419355,0.5161290322580645,1.1612903225806452,1.0,3.774193548387097,117,any_setpiece_order
2025-26,N.Williams,backup_sp,3203,34,2,3,2.01,3.97,4,0.11764705882352941,0.6176470588235294,0.23529411764705882,1.0588235294117647,0.8529411764705883,3.764705882352941,128,any_setpiece_order
2025-26,Murillo,backup_sp,2130,23,1,0,0.73,0.47,9,0.391304347826087,0.2608695652173913,0.782608695652174,1.0434782608695652,1.0434782608695652,3.608695652173913,83,any_setpiece_order
2025-26,Cash,backup_sp,3016,33,3,3,1.14,2.94,1,0.030303030303030304,0.8181818181818182,0.06060606060606061,0.9696969696969697,0.8787878787878789,3.5454545454545454,117,any_setpiece_order
2025-26,H.Bueno,corner_primary,2359,24,1,3,0.86,3.49,3,0.125,0.625,0.25,0.6666666666666666,0.875,3.4583333333333335,83,any_setpiece_order
2025-26,Hume,backup_sp,3032,32,2,1,2.27,2.05,2,0.0625,0.46875,0.125,1.125,0.59375,3.4375,110,any_setpiece_order
2025-26,Hall,fk_primary,2176,23,1,2,1.01,2.78,5,0.21739130434782608,0.5217391304347826,0.43478260869565216,0.6956521739130435,0.9565217391304348,3.4347826086956523,79,any_setpiece_order
2025-26,Dunk,backup_sp,2837,31,1,1,1.83,0.56,8,0.25806451612903225,0.2903225806451613,0.5161290322580645,0.9032258064516129,0.8064516129032258,3.225806451612903,100,any_setpiece_order
