cohort,n_players,mean_defcon_hit_rate,mean_xp_defcon_per_start,mean_xp_attack_per_start,mean_xp_cs_per_start,mean_attack_plus_defcon_per_start,mean_pts_per_start,attack_gap_sp_minus_high_defcon,defcon_gap_high_minus_sp,net_sp_vs_high_defcon,breakeven_hit_rate_gap
MID_no_sp_all_regular,62,0.217,0.435,1.061,0.296,1.496,4.391,0.56,0.47,0.089,0.28
MID_no_sp_high_defcon_p75,16,0.475,0.949,0.713,0.279,1.662,4.184,0.56,0.47,0.089,0.28
MID_corner_or_pen_and_corner,15,0.239,0.479,1.272,0.301,1.751,4.567,0.56,0.47,0.089,0.28
MID_pen_or_pen_and_corner,7,0.092,0.185,2.351,0.306,2.536,5.38,0.56,0.47,0.089,0.28
