season,players_rows,perf_rows,dup_player_fixture,dup_player_gw,gw_min,gw_max,has_defcon,pen_order_1,corner_order_1,fk_order_1,managers_excluded,dup_player_fixture_dropped,defcon_nulls,xp_column_unused
2024-25,804,27605,0.0,374,1,38,False,18,19,19,20.0,,,
2025-26,841,29757,,409,1,38,True,14,19,17,,10.0,0.0,True
