model,evaluation_season,gw_start,gw_end,seed_season,sample_count,signed_bias,mae,minutes_bias,snapshot_backed
participation_penalty_hybrid,2025-26,1,38,2024-25,31958,0.15120969225177044,1.072908868708044,2.091999973778679,false
participation_penalty_hybrid,2026-27,1,3,2025-26,1974,0.2139909526392434,1.4066798709219062,2.635552449140755,false
