num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,ARS-ARS-CHE-CRY-IPS,ARS,ARS,CHE,CRY,IPS,2.05,2.4,2.25,2.27,2.26,2.1669,0.2317
4,2+1+1+1,ARS-ARS-CHE-CRY-MUN,ARS,ARS,CHE,CRY,MUN,2.17,2.8,1.87,2.21,2.04,2.0963,-0.1691
3,2+2+1,ARS-ARS-CHE-IPS-IPS,ARS,ARS,CHE,IPS,IPS,2.02,2.4,2.25,2.48,2.37,2.2115,0.4126
4,2+1+1+1,ARS-ARS-CHE-IPS-MUN,ARS,ARS,CHE,IPS,MUN,2.14,2.8,1.87,2.21,2.04,2.0828,-0.0871
3,2+2+1,ARS-ARS-CHE-MUN-MUN,ARS,ARS,CHE,MUN,MUN,2.25,2.8,1.87,2.21,2.04,2.1345,-0.2457
3,2+2+1,ARS-ARS-CRY-CRY-IPS,ARS,ARS,CRY,CRY,IPS,2.06,2.4,2.25,2.27,2.26,2.1686,0.1358
3,2+2+1,ARS-ARS-CRY-CRY-MUN,ARS,ARS,CRY,CRY,MUN,2.17,2.8,1.87,2.21,2.04,2.0981,-0.1978
3,2+2+1,ARS-ARS-CRY-IPS-IPS,ARS,ARS,CRY,IPS,IPS,2.03,2.4,2.25,2.27,2.26,2.1551,0.2831
4,2+1+1+1,ARS-ARS-CRY-IPS-MUN,ARS,ARS,CRY,IPS,MUN,2.14,2.8,1.87,2.21,2.04,2.0845,-0.1494
3,2+2+1,ARS-ARS-CRY-MUN-MUN,ARS,ARS,CRY,MUN,MUN,2.25,2.8,1.87,2.21,2.04,2.1363,-0.2408
3,2+2+1,ARS-ARS-IPS-IPS-MUN,ARS,ARS,IPS,IPS,MUN,2.11,2.8,1.87,2.21,2.04,2.071,-0.0433
3,2+2+1,ARS-ARS-IPS-MUN-MUN,ARS,ARS,IPS,MUN,MUN,2.23,2.8,1.87,2.21,2.04,2.1227,-0.2336
3,2+2+1,ARS-BRE-BRE-BHA-BHA,ARS,BRE,BRE,BHA,BHA,2.39,2.6,2.55,2.28,2.42,2.406,0.3
4,2+1+1+1,ARS-BRE-BRE-BHA-CHE,ARS,BRE,BRE,BHA,CHE,2.35,2.6,2.55,2.28,2.42,2.3846,0.2872
4,2+1+1+1,ARS-BRE-BRE-BHA-CRY,ARS,BRE,BRE,BHA,CRY,2.35,2.6,2.55,2.28,2.42,2.3864,0.2984
4,2+1+1+1,ARS-BRE-BRE-BHA-IPS,ARS,BRE,BRE,BHA,IPS,2.32,2.6,2.55,2.28,2.42,2.3729,0.2513
4,2+1+1+1,ARS-BRE-BRE-BHA-MUN,ARS,BRE,BRE,BHA,MUN,2.43,2.8,2.4,2.28,2.34,2.3834,0.0401
3,2+2+1,ARS-BRE-BRE-CHE-CHE,ARS,BRE,BRE,CHE,CHE,2.3,2.6,2.55,2.28,2.42,2.3633,0.2865
4,2+1+1+1,ARS-BRE-BRE-CHE-CRY,ARS,BRE,BRE,CHE,CRY,2.3,2.6,2.55,2.28,2.42,2.365,0.2822
4,2+1+1+1,ARS-BRE-BRE-CHE-IPS,ARS,BRE,BRE,CHE,IPS,2.27,2.6,2.55,2.28,2.42,2.3515,0.2613
4,2+1+1+1,ARS-BRE-BRE-CHE-MUN,ARS,BRE,BRE,CHE,MUN,2.39,2.8,2.4,2.28,2.34,2.362,-0.0002
3,2+2+1,ARS-BRE-BRE-CRY-CRY,ARS,BRE,BRE,CRY,CRY,2.31,2.6,2.55,2.28,2.42,2.3668,0.2979
4,2+1+1+1,ARS-BRE-BRE-CRY-IPS,ARS,BRE,BRE,CRY,IPS,2.28,2.6,2.55,2.28,2.42,2.3533,0.2435
4,2+1+1+1,ARS-BRE-BRE-CRY-MUN,ARS,BRE,BRE,CRY,MUN,2.39,2.8,2.4,2.28,2.34,2.3638,0.0492
3,2+2+1,ARS-BRE-BRE-IPS-IPS,ARS,BRE,BRE,IPS,IPS,2.25,2.6,2.55,2.28,2.42,2.3397,0.2466
