horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,16,96.93,6.06,5.616,74.75,74.74,2.62,93.8,43.8,0.007,0.51,5.03
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,19,115.09,6.06,5.616,73.03,70.47,2.68,89.5,42.1,0.1068,0.5153,5.95
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,38,230.46,6.06,5.623,71.72,66.9,2.71,86.8,44.7,0.3262,0.5148,12.04
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,3,23.48,7.83,7.533,74.33,35.83,3.0,33.3,33.3,0.0,0.5345,1.09
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,16,97.7,6.11,5.812,80.11,79.76,2.5,93.8,56.2,-0.2732,0.4971,5.44
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,19,115.86,6.1,5.804,79.81,79.35,2.53,94.7,52.6,-0.2356,0.503,6.36
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,38,231.56,6.09,5.799,80.45,81.16,2.53,97.4,50.0,-0.3007,0.5062,12.86
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,3,24.05,8.02,7.723,76.67,41.67,2.75,33.3,33.3,0.0,0.5257,1.32
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,16,96.34,6.02,5.727,75.8,72.66,2.62,93.8,43.8,0.2848,0.509,5.1
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,19,114.5,6.03,5.732,75.12,70.73,2.63,89.5,47.4,0.2362,0.5117,6.02
