player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note,price,club_id
149,460028,Colwill,CHE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.0549,0.0374,6.3143,6.3143,0.0,1.3684,Older FPL 2024/25 (3150m); destination GC overlay; dest GC CHE=1.368,5.0,6
152,620109,Palestra,CHE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.05,0.104,3.5,3.5,0.0,1.3684,2025/26 Serie A Cagliari; ~3084m; FotMob; dest GC CHE=1.368,5.5,6
200,437499,Lacroix,CHE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3085.0,prior_season_seed,0.0715,0.0242,10.7942,10.7942,0.0,1.3712,Prior-Season Seed 2025/26 (3085m),6.0,6
173,461102,Thomas,COV,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.089,0.104,8.56,8.56,0.0,1.375,2025/26 Championship Coventry; ~2924m; FotMob; dest GC COV=1.375,4.0,7
174,436761,Kitching,COV,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.05,0.04,8.75,8.75,0.0,1.375,2024/26 Championship Coventry; 2450m; FBref/FotMob; dest GC COV=1.375,4.0,7
175,451284,van Ewijk,COV,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.026,0.141,6.42,6.42,0.0,1.375,2025/26 Championship Coventry; ~3784m; FotMob; dest GC COV=1.375,4.0,7
182,539142,Amenda,COV,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.041,0.047,8.97,8.97,0.0,1.375,2025/26 Bundesliga Eintracht Frankfurt; ~1676m; FotMob; dest GC COV=1.375,4.0,7
201,247348,Muñoz,CRY,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2400.0,prior_season_seed,0.0919,0.1477,7.35,7.35,0.0,1.2375,Prior-Season Seed 2025/26 (2400m),5.5,8
202,427623,Richards,CRY,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2825.0,prior_season_seed,0.0771,0.0497,9.908,9.908,0.0,1.3381,Prior-Season Seed 2025/26 (2825m),5.0,8
203,651426,Canvot,CRY,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,1331.0,prior_season_seed,0.1001,0.0223,11.4275,11.4275,0.0,1.5552,Prior-Season Seed 2025/26 (1331m),5.0,8
