horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,avg_fdr_corr,gkp_strategy,gkp_pairing,def_lineup
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.92,24.037,81.94,77.41,25.8,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Robertson (TOT)
gw1_3_bb1,Band 2: Mid-Value (£31.5m-£33.0m),33.0,80.9,24.032,81.94,76.07,25.36,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.89,24.226,79.95,78.42,26.14,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Robertson (TOT)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.87,23.87,83.49,77.35,25.78,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Dalot (MUN) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.86,24.02,81.94,77.36,25.79,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.84,24.017,81.94,77.35,25.78,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Heaven (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.82,24.01,81.94,77.33,25.78,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Robertson (TOT)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.82,23.856,83.49,77.31,25.77,2.25,100.0,0.4317,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Heaven (MUN) + Hume (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.82,24.21,79.95,78.37,26.12,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Hume (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.81,24.206,79.95,78.36,26.12,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Heaven (MUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,80.78,24.046,81.5,78.32,26.11,2.33,100.0,0.4317,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Heaven (MUN) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.77,23.844,83.49,75.95,25.32,2.25,100.0,0.4317,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + O'Nien (SUN) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.77,23.844,83.49,75.95,25.32,2.25,100.0,0.4317,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + Heaven (MUN) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.75,23.993,81.94,77.28,25.76,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.74,24.034,81.5,76.96,25.65,2.33,100.0,0.4317,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + O'Nien (SUN) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.74,24.034,81.5,76.96,25.65,2.33,100.0,0.4317,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + Heaven (MUN) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.74,23.99,81.94,77.27,25.76,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Heaven (MUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.71,23.83,83.49,77.23,25.74,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Heaven (MUN) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.7,23.98,81.94,77.24,25.75,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.68,23.977,81.94,77.23,25.74,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Heaven (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.67,23.818,83.49,75.87,25.29,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + Heaven (MUN) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.67,23.818,83.49,75.87,25.29,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + O'Nien (SUN) + Hume (SUN)
gw1_3_bb1,Band 2: Mid-Value (£31.5m-£33.0m),33.0,80.66,23.972,81.94,75.89,25.3,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + Gvardiol (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.66,24.17,79.95,78.25,26.08,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Hume (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.65,24.166,79.95,78.24,26.08,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Heaven (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.63,24.161,79.95,76.9,25.63,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + Gvardiol (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.59,23.953,81.94,77.16,25.72,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.58,23.95,81.94,77.15,25.72,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Heaven (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.57,24.013,81.29,77.34,25.78,2.33,100.0,0.4683,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Kayode (BRE) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 2: Mid-Value (£31.5m-£33.0m),33.0,80.56,23.945,81.94,75.81,25.27,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + Gvardiol (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.53,24.203,79.3,78.35,26.12,2.42,100.0,0.4683,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Kayode (BRE) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.48,23.926,81.94,77.52,25.84,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Van Hecke (TOT)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.48,23.926,81.94,77.52,25.84,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Ballard (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.46,23.987,81.29,77.26,25.75,2.33,100.0,0.4683,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Kayode (BRE) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,80.44,24.116,79.95,78.53,26.18,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Van Hecke (TOT)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,80.44,24.116,79.95,78.53,26.18,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Ballard (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.39,24.111,79.88,77.19,25.73,2.41,100.0,0.4,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Mendy (HUL) + O'Reilly (MCI)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.37,23.9,81.94,77.44,25.81,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Van Hecke (TOT)
