model,evaluation_season,gw_start,gw_end,seed_season,sample_count,realized_signed_bias,realized_mae,realized_mse,process_signed_bias,process_mae,blend_signed_bias,blend_mae,snapshot_backed
hold_chase_challenger,2025-26,1,38,2024-25,31958,0.12350972546390336,1.0333896894396108,3.8705144521551205,0.13677056781949506,0.920549160335894,0.1301401466416992,0.9576621366772562,false
hold_chase_challenger,2026-27,1,5,2025-26,3335,0.10617333708377973,1.3066198239620546,5.114232283731145,0.11283900425019654,1.1580698834707965,0.10950617066698812,1.2077522612794884,false
calibrated_matchup_hybrid,2025-26,1,38,2024-25,31958,0.1850698187106203,1.0794447079524536,3.8742092218091346,0.19833066106621203,0.9647279183305985,0.19170023988841614,1.002403149704738,false
calibrated_matchup_hybrid,2026-27,1,5,2025-26,3335,0.1807443685437823,1.3571463936884538,5.037901034760211,0.1874100357101991,1.2061216483564685,0.18407720212699072,1.2565012820136374,false
participation_state_hybrid,2025-26,1,38,2024-25,31958,0.18506438622899749,1.0794375392065572,3.874132015030573,0.19832522858458923,0.9647185557487822,0.19169480740679337,1.0023919216529367,false
participation_state_hybrid,2026-27,1,5,2025-26,3335,0.1807443685437823,1.3571463936884538,5.037901034760211,0.1874100357101991,1.2061216483564685,0.18407720212699072,1.2565012820136374,false
goals_path_challenger,2025-26,1,38,2024-25,31958,0.09584486685762653,1.0215157016019205,3.8223884907169725,0.10910570921321824,0.9091863526429238,0.10247528803542238,0.9462164267897036,false
goals_path_challenger,2026-27,1,5,2025-26,3335,0.06343997444624737,1.2851007770943235,4.945689430526911,0.07010564161266414,1.137290550999327,0.06677280802945575,1.186080826103998,false
