segment,gw_range,blend_cand_wins_primary,blend_goals_wins_primary,blend_champ_regret,blend_cand_regret,blend_goals_regret,blend_regret_delta_champ_minus_cand,blend_regret_delta_champ_minus_goals,blend_champ_mae,blend_cand_mae,blend_goals_mae,realized_champ_mae,realized_cand_mae,realized_goals_mae,process_champ_mae,process_cand_mae,process_goals_mae,gkp_blend_mae_delta,def_blend_mae_delta,mid_blend_mae_delta,fwd_blend_mae_delta,xp_cs_mae_delta,xp_gc_mae_delta,xp_goals_mae_delta,xp_cs_bias_cand,xp_cs_bias_champ,xp_gc_bias_cand,xp_gc_bias_champ
combined,1-38,True,False,71.74842105263158,71.67144736842106,72.55999999999999,0.07697368421052886,-0.8115789473684032,0.9576621366772562,0.9609907274703366,0.9462164267897036,1.0333896894396108,1.037264094054507,1.0215157016019205,0.920549160335894,0.9234357983770909,0.9091863526429238,-0.02196615000100388,-0.02409780384605198,0.002830673020233987,0.05015740691454906,-0.0304809468989114,-0.0038395802893428504,0.019930878126490303,0.06509079481621147,0.014004660666207883,-0.017047076940296474,-0.008084156661181006
cold_start,1-4,True,True,76.5825,71.81,74.22874999999999,4.772499999999994,2.353750000000005,1.0833698023077833,1.0826837052715532,1.0668174372571197,1.1401257830084304,1.1407839823954082,1.1241114841603628,1.052898160959857,1.052058674956628,1.0369083961423136,-0.022958878412498662,-0.023437360083489844,0.004223829554684366,0.07927657510314612,-0.025614152644805377,-0.005086154581117566,0.02372744713723296,0.0086561126277305,-0.04784629712545782,-0.02201225523018092,-0.01334028123588447
early_mid,5-19,False,False,76.40533333333333,76.52333333333333,76.964,-0.117999999999995,-0.5586666666666673,0.9636130645501336,0.9673880236323367,0.9514017995257215,1.0416779889026506,1.046621674581169,1.02988805134715,0.9227891473479322,0.9252868011915919,0.9096913870926414,-0.025205982619184608,-0.025338917055598653,0.0033931751121611953,0.05079719961505824,-0.03262500732471463,-0.0034403278909656415,0.02088768042310013,0.08233963429390552,0.02983861683653171,-0.012770348507056835,-0.0037725454674372
late,20-38,False,False,67.0542105263158,67.81184210526315,68.73184210526317,-0.757631578947354,-1.67763157894737,0.9264992640132946,0.9303206562263963,0.916733025057602,1.00437553858588,1.008082869777479,0.9933068396854883,0.8909178020371347,0.8948959800331086,0.8818987899722225,-0.019199391952651856,-0.023257018420107745,0.002093296308828041,0.04352195621654764,-0.02981285587940502,-0.0038923428582143677,0.018376230205852606,0.0633542756892911,0.014525423224723957,-0.019378140800246826,-0.01038150769314644
