model,evaluation_season,gw_start,gw_end,seed_season,pool,position,eval_target,component,sample_count,mean_projected,mean_actual,signed_bias,bias_share,mae,rmse,mse_contrib,mse_share,rank_by_mse_share,twin_source,mse_share_twin,twin_shrink,signed_bias_twin,twin_link_bias,demotion_label,snapshot_backed,total_mse,total_signed_bias,shrink_theta,bias_tau
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_minutes,31958,0.6355313654752859,0.604074097252644,0.031457268222641915,0.25469466557785797,0.35136873186600964,0.5569767144775297,0.5599978979769025,0.14468306601079683,4,none,,,,,no_twin,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_goals,31958,0.22560735462279785,0.1510419926153076,0.07456536200749027,0.6037205712134998,0.3202529990274565,0.9594560186716229,1.266298003997011,0.32716529537615613,1,process_ga,0.16028804729035626,0.5100701402143949,0.06353275671304129,0.011032605294448966,structural,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_assists,31958,0.1012408105562265,0.08842856248826585,0.01281224806796065,0.10373473036101213,0.17092574225863108,0.5343433920484429,0.4032322577610176,0.10418053278072532,5,process_ga,0.02968900277549689,0.7150235079140455,0.037105695718001326,-0.02429344765004067,variance,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_clean_sheet,31958,0.17202456178642814,0.1580199011202203,0.014004660666207883,0.11338913282825529,0.26033780198726547,0.6601883224340104,0.6861415716259601,0.17727399809705227,2,poisson_xgc,0.08125990085959393,0.5416141017189304,-0.021409979578158638,0.035414640244366496,variance,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_conceded,31958,-0.06171704983346963,-0.05363289317228863,-0.008084156661181006,-0.06545360400419367,0.07986250735270145,0.21447336943577397,0.04858115612456789,0.012551601789658137,7,poisson_xgc,-0.007013847227651683,0.44119903218800915,-0.0037889758415060033,-0.004295180819675004,structural,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_saves,31958,0.014022923212327594,0.014018399148882909,4.52406344468558e-06,3.6629208167155806e-05,0.016842238224024305,0.10483790722646763,0.021378821389165036,0.00552350899433051,8,none,,,,,no_twin,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_penalties_saved,31958,0.0023600140421301966,0.0017210088240816072,0.0006390052180485896,0.005173723896223408,0.004035430989550482,0.09436323075321124,0.0127893743721285,0.0033043086468795687,10,none,,,,,no_twin,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_penalties_missed,31958,-0.0012094080978887075,-0.0009387320858626948,-0.0002706760120260126,-0.0021915360187981284,0.0021250617820671087,0.04441466236080839,0.0021597724481812208,0.0005580065582699605,13,none,,,,,no_twin,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_own_goals,31958,-0.002620806726416625,-0.0025032855623005196,-0.00011752116411610595,-0.0009515134429673102,0.005083488555350632,0.07316232215246743,0.007775084790389791,0.0020087988009089043,12,none,,,,,no_twin,false,3.8705144521551205,0.12350972546390336,0.5,0.05
hold_chase_challenger,2025-26,1,38,2024-25,all,ALL,realized,xp_yellow_cards,31958,-0.045957154573546315,-0.04449590086989173,-0.0014612537036545806,-0.011831082112490347,0.07985834618213736,0.2010817755758762,0.009054512876844589,0.0023393564314953,11,none,,,,,no_twin,false,3.8705144521551205,0.12350972546390336,0.5,0.05
