list,pick,fix_rank,combo,allocation_pattern,all_easy_gws,all_easy_pct,avg_fdr_corr,rot_avg_fdr,no_diff_gws,mean_gkp_xcs,mean_def_xcs,n_elite,n_strong,n_cs_plus,n_prom,n_weak,cs_core,leaks,gate,fail,verdict
gw1_3_fixture_head,,1,BRE-HUL-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.2,2.2222,3,0.2703,0.271,0,1,1,1,0,MUN,HUL,cut,thin CS core,CAUTION
gw1_3_fixture_head,,2,HUL-LIV-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.2,2.2222,3,0.2778,0.2689,0,2,2,1,0,LIV-MUN,HUL,pass,,CAUTION
gw1_3_fixture_head,,3,HUL-MCI-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.2,2.2222,3,0.3023,0.3033,1,1,2,1,0,MCI-MUN,HUL,pass,,CAUTION
gw1_3_fixture_head,,4,AVL-HUL-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1732,2.2222,3,0.275,0.2784,0,2,2,1,0,AVL-MUN,HUL,pass,,CAUTION
gw1_3_fixture_head,,5,BHA-HUL-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1732,2.2222,3,0.2767,0.2783,0,2,2,1,0,BHA-MUN,HUL,pass,,CAUTION
gw1_3_fixture_head,,6,ARS-BRE-HUL-MUN-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.3157,0.3086,1,1,2,1,0,ARS-MUN,HUL,pass,,CAUTION
gw1_3_fixture_head,,7,ARS-HUL-LIV-MUN-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.3232,0.3066,1,2,3,1,0,ARS-LIV-MUN,HUL,pass,,PICK
gw1_3_fixture_head,,8,ARS-HUL-MCI-MUN-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.3477,0.341,2,1,3,1,0,ARS-MCI-MUN,HUL,pass,,PICK
gw1_3_fixture_head,,9,BRE-COV-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.2703,0.271,0,1,1,1,0,MUN,COV,cut,thin CS core,CAUTION
gw1_3_fixture_head,,10,BRE-HUL-IPS-MUN-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.2672,0.2628,0,1,1,2,0,MUN,HUL-IPS,cut,thin CS core; 2+ promoted,CAUTION
gw1_3_fixture_head,,11,BRE-MUN-NFO-SUN-TOT,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.2933,0.277,0,1,1,0,0,MUN,,cut,thin CS core,CAUTION
gw1_3_fixture_head,,12,COV-LIV-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.2778,0.2689,0,2,2,1,0,LIV-MUN,COV,pass,,CAUTION
gw1_3_fixture_head,,13,COV-MCI-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.3023,0.3033,1,1,2,1,0,MCI-MUN,COV,pass,,CAUTION
gw1_3_fixture_head,,14,HUL-IPS-LIV-MUN-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.2747,0.2608,0,2,2,2,0,LIV-MUN,HUL-IPS,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,15,HUL-IPS-MCI-MUN-SUN,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.2992,0.2952,1,1,2,2,0,MCI-MUN,HUL-IPS,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,16,LIV-MUN-NFO-SUN-TOT,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.3008,0.2749,0,2,2,0,0,LIV-MUN,,pass,,SOLID
gw1_3_fixture_head,,17,MCI-MUN-NFO-SUN-TOT,1+1+1+1+1,2,66.7,-0.1366,2.2222,3,0.3253,0.3093,1,1,2,0,0,MCI-MUN,,pass,,PICK
gw1_3_fixture_head,,18,ARS-AVL-HUL-MUN-SUN,1+1+1+1+1,2,66.7,-0.1098,2.2222,3,0.3205,0.3161,1,2,3,1,0,ARS-AVL-MUN,HUL,pass,,PICK
gw1_3_fixture_head,,19,ARS-BHA-HUL-MUN-SUN,1+1+1+1+1,2,66.7,-0.1098,2.2222,3,0.3221,0.316,1,2,3,1,0,ARS-BHA-MUN,HUL,pass,,PICK
gw1_3_fixture_head,,20,AVL-HUL-IPS-MUN-SUN,1+1+1+1+1,2,66.7,-0.1098,2.2222,3,0.272,0.2703,0,2,2,2,0,AVL-MUN,HUL-IPS,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,21,BHA-HUL-IPS-MUN-SUN,1+1+1+1+1,2,66.7,-0.1098,2.2222,3,0.2736,0.2702,0,2,2,2,0,BHA-MUN,HUL-IPS,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,22,BOU-HUL-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1,2.3333,3,0.2653,0.2716,0,1,1,1,1,MUN,BOU-HUL,cut,thin CS core,CAUTION
gw1_3_fixture_head,,23,CRY-HUL-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1,2.3333,3,0.2674,0.2733,0,1,1,1,1,MUN,CRY-HUL,cut,thin CS core,CAUTION
gw1_3_fixture_head,,24,FUL-HUL-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.1,2.3333,3,0.2693,0.2794,0,1,1,1,0,MUN,HUL,cut,thin CS core,CAUTION
gw1_3_fixture_head,,25,HUL-MUN-NEW-NFO-SUN,1+1+1+1+1,2,66.7,-0.1,2.3333,3,0.2656,0.265,0,1,1,1,1,MUN,HUL-NEW,cut,thin CS core,CAUTION
gw1_3_fixture_head,,26,AVL-COV-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.0964,2.2222,3,0.275,0.2784,0,2,2,1,0,AVL-MUN,COV,pass,,CAUTION
gw1_3_fixture_head,,27,AVL-MUN-NFO-SUN-TOT,1+1+1+1+1,2,66.7,-0.0964,2.2222,3,0.298,0.2844,0,2,2,0,0,AVL-MUN,,pass,,SOLID
gw1_3_fixture_head,,28,BHA-COV-MUN-NFO-SUN,1+1+1+1+1,2,66.7,-0.0964,2.2222,3,0.2767,0.2783,0,2,2,1,0,BHA-MUN,COV,pass,,CAUTION
gw1_3_fixture_head,,29,BHA-MUN-NFO-SUN-TOT,1+1+1+1+1,2,66.7,-0.0964,2.2222,3,0.2997,0.2843,0,2,2,0,0,BHA-MUN,,pass,,SOLID
gw1_3_fixture_head,,30,ARS-BRE-COV-MUN-SUN,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3157,0.3086,1,1,2,1,0,ARS-MUN,COV,pass,,CAUTION
gw1_3_fixture_head,,31,ARS-BRE-MUN-SUN-TOT,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3387,0.3147,1,1,2,0,0,ARS-MUN,,pass,,PICK
gw1_3_fixture_head,,32,ARS-COV-LIV-MUN-SUN,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3232,0.3066,1,2,3,1,0,ARS-LIV-MUN,COV,pass,,PICK
gw1_3_fixture_head,,33,ARS-COV-MCI-MUN-SUN,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3477,0.341,2,1,3,1,0,ARS-MCI-MUN,COV,pass,,PICK
gw1_3_fixture_head,,34,ARS-LIV-MUN-SUN-TOT,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3462,0.3126,1,2,3,0,0,ARS-LIV-MUN,,pass,,PICK
gw1_3_fixture_head,,35,ARS-MCI-MUN-SUN-TOT,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3707,0.347,2,1,3,0,0,ARS-MCI-MUN,,pass,,PICK
gw1_3_fixture_head,,36,BRE-COV-IPS-MUN-SUN,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.2672,0.2628,0,1,1,2,0,MUN,COV-IPS,cut,thin CS core; 2+ promoted,CAUTION
gw1_3_fixture_head,,37,BRE-IPS-MUN-SUN-TOT,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.2902,0.2689,0,1,1,1,0,MUN,IPS,cut,thin CS core,CAUTION
gw1_3_fixture_head,,38,COV-IPS-LIV-MUN-SUN,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.2747,0.2608,0,2,2,2,0,LIV-MUN,COV-IPS,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,39,COV-IPS-MCI-MUN-SUN,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.2992,0.2952,1,1,2,2,0,MCI-MUN,COV-IPS,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,40,IPS-LIV-MUN-SUN-TOT,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.2977,0.2668,0,2,2,1,0,LIV-MUN,IPS,pass,,CAUTION
gw1_3_fixture_head,,41,IPS-MCI-MUN-SUN-TOT,1+1+1+1+1,2,66.7,-0.05,2.2222,3,0.3222,0.3012,1,1,2,1,0,MCI-MUN,IPS,pass,,CAUTION
gw1_3_fixture_head,,42,ARS-COV-HUL-MUN-NFO,1+1+1+1+1,2,66.7,-0.05,2.3333,3,0.3129,0.3097,1,1,2,2,0,ARS-MUN,COV-HUL,cut,2+ promoted,CAUTION
gw1_3_fixture_head,,43,ARS-COV-HUL-NFO-SUN,1+1+1+1+1,2,66.7,-0.05,2.3333,3,0.3076,0.3128,1,0,1,2,0,ARS,COV-HUL,cut,thin CS core; 2+ promoted,CAUTION
