num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
3,3+1+1,BRE-IPS-MUN-MUN-MUN,BRE,IPS,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.2
3,3+1+1,IPS-LIV-MUN-MUN-MUN,IPS,LIV,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.2
3,3+1+1,IPS-MCI-MUN-MUN-MUN,IPS,MCI,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.2
3,3+1+1,ARS-AVL-MUN-MUN-MUN,ARS,AVL,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1098
3,3+1+1,ARS-AVL-SUN-SUN-SUN,ARS,AVL,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1098
3,3+1+1,ARS-BHA-MUN-MUN-MUN,ARS,BHA,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1098
3,3+1+1,ARS-BHA-SUN-SUN-SUN,ARS,BHA,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1098
3,3+1+1,AVL-IPS-MUN-MUN-MUN,AVL,IPS,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1098
3,3+1+1,BHA-IPS-MUN-MUN-MUN,BHA,IPS,MUN,MUN,MUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1098
3,3+1+1,BRE-MUN-MUN-MUN-SUN,BRE,MUN,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
4,2+1+1+1,BRE-MUN-MUN-NFO-SUN,BRE,MUN,MUN,NFO,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
4,2+1+1+1,BRE-MUN-NFO-SUN-SUN,BRE,MUN,NFO,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
3,3+1+1,BRE-MUN-SUN-SUN-SUN,BRE,MUN,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
3,3+1+1,LIV-MUN-MUN-MUN-SUN,LIV,MUN,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
4,2+1+1+1,LIV-MUN-MUN-NFO-SUN,LIV,MUN,MUN,NFO,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
4,2+1+1+1,LIV-MUN-NFO-SUN-SUN,LIV,MUN,NFO,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
3,3+1+1,LIV-MUN-SUN-SUN-SUN,LIV,MUN,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
3,3+1+1,MCI-MUN-MUN-MUN-SUN,MCI,MUN,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
4,2+1+1+1,MCI-MUN-MUN-NFO-SUN,MCI,MUN,MUN,NFO,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
4,2+1+1+1,MCI-MUN-NFO-SUN-SUN,MCI,MUN,NFO,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
3,3+1+1,MCI-MUN-SUN-SUN-SUN,MCI,MUN,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.1
3,3+1+1,AVL-MUN-MUN-MUN-SUN,AVL,MUN,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0464
3,3+1+1,AVL-MUN-SUN-SUN-SUN,AVL,MUN,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0464
3,3+1+1,BHA-MUN-MUN-MUN-SUN,BHA,MUN,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0464
3,3+1+1,BHA-MUN-SUN-SUN-SUN,BHA,MUN,SUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0464
4,2+1+1+1,AVL-MUN-MUN-NFO-SUN,AVL,MUN,MUN,NFO,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0098
4,2+1+1+1,AVL-MUN-NFO-SUN-SUN,AVL,MUN,NFO,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0098
4,2+1+1+1,BHA-MUN-MUN-NFO-SUN,BHA,MUN,MUN,NFO,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0098
4,2+1+1+1,BHA-MUN-NFO-SUN-SUN,BHA,MUN,NFO,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0098
4,2+1+1+1,ARS-BRE-MUN-MUN-SUN,ARS,BRE,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,ARS-BRE-MUN-SUN-SUN,ARS,BRE,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,ARS-LIV-MUN-MUN-SUN,ARS,LIV,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,ARS-LIV-MUN-SUN-SUN,ARS,LIV,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,ARS-MCI-MUN-MUN-SUN,ARS,MCI,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0
4,2+1+1+1,ARS-MCI-MUN-SUN-SUN,ARS,MCI,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0
3,2+2+1,BRE-MUN-MUN-SUN-SUN,BRE,MUN,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0
3,2+2+1,LIV-MUN-MUN-SUN-SUN,LIV,MUN,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0
3,2+2+1,MCI-MUN-MUN-SUN-SUN,MCI,MUN,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,-0.0
3,2+2+1,AVL-MUN-MUN-SUN-SUN,AVL,MUN,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0536
3,2+2+1,BHA-MUN-MUN-SUN-SUN,BHA,MUN,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0536
4,2+1+1+1,ARS-AVL-MUN-MUN-SUN,ARS,AVL,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0902
4,2+1+1+1,ARS-AVL-MUN-SUN-SUN,ARS,AVL,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0902
4,2+1+1+1,ARS-BHA-MUN-MUN-SUN,ARS,BHA,MUN,MUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0902
4,2+1+1+1,ARS-BHA-MUN-SUN-SUN,ARS,BHA,MUN,SUN,SUN,2.2,3.0,2.0,2.67,2.33,2.2727,0.0902
2,3+2,BRE-BRE-MUN-MUN-MUN,BRE,BRE,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.6
2,3+2,BRE-BRE-SUN-SUN-SUN,BRE,BRE,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.6
2,3+2,LIV-LIV-MUN-MUN-MUN,LIV,LIV,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.6
2,3+2,LIV-LIV-SUN-SUN-SUN,LIV,LIV,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.6
2,3+2,MCI-MCI-MUN-MUN-MUN,MCI,MCI,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.6
2,3+2,MCI-MCI-SUN-SUN-SUN,MCI,MCI,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.6
2,3+2,AVL-AVL-MUN-MUN-MUN,AVL,AVL,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5196
2,3+2,AVL-AVL-SUN-SUN-SUN,AVL,AVL,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5196
2,3+2,BHA-BHA-MUN-MUN-MUN,BHA,BHA,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5196
2,3+2,BHA-BHA-SUN-SUN-SUN,BHA,BHA,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5196
3,3+1+1,BRE-LIV-MUN-MUN-MUN,BRE,LIV,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5
3,3+1+1,BRE-LIV-SUN-SUN-SUN,BRE,LIV,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5
3,3+1+1,BRE-MCI-MUN-MUN-MUN,BRE,MCI,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5
3,3+1+1,BRE-MCI-SUN-SUN-SUN,BRE,MCI,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5
3,3+1+1,LIV-MCI-MUN-MUN-MUN,LIV,MCI,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5
3,3+1+1,LIV-MCI-SUN-SUN-SUN,LIV,MCI,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.5
3,3+1+1,AVL-BRE-MUN-MUN-MUN,AVL,BRE,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,AVL-BRE-SUN-SUN-SUN,AVL,BRE,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,AVL-LIV-MUN-MUN-MUN,AVL,LIV,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,AVL-LIV-SUN-SUN-SUN,AVL,LIV,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,AVL-MCI-MUN-MUN-MUN,AVL,MCI,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,AVL-MCI-SUN-SUN-SUN,AVL,MCI,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,BRE-BHA-MUN-MUN-MUN,BRE,BHA,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,BRE-BHA-SUN-SUN-SUN,BRE,BHA,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,BHA-LIV-MUN-MUN-MUN,BHA,LIV,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,BHA-LIV-SUN-SUN-SUN,BHA,LIV,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,BHA-MCI-MUN-MUN-MUN,BHA,MCI,MUN,MUN,MUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,3+1+1,BHA-MCI-SUN-SUN-SUN,BHA,MCI,SUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4732
3,2+2+1,BRE-BRE-MUN-MUN-SUN,BRE,BRE,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4
3,2+2+1,BRE-BRE-MUN-SUN-SUN,BRE,BRE,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4
3,2+2+1,LIV-LIV-MUN-MUN-SUN,LIV,LIV,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4
3,2+2+1,LIV-LIV-MUN-SUN-SUN,LIV,LIV,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4
3,2+2+1,MCI-MCI-MUN-MUN-SUN,MCI,MCI,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4
3,2+2+1,MCI-MCI-MUN-SUN-SUN,MCI,MCI,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.4
3,2+2+1,AVL-AVL-MUN-MUN-SUN,AVL,AVL,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3196
3,2+2+1,AVL-AVL-MUN-SUN-SUN,AVL,AVL,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3196
3,2+2+1,BHA-BHA-MUN-MUN-SUN,BHA,BHA,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3196
3,2+2+1,BHA-BHA-MUN-SUN-SUN,BHA,BHA,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3196
4,2+1+1+1,BRE-LIV-MUN-MUN-SUN,BRE,LIV,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3
4,2+1+1+1,BRE-LIV-MUN-SUN-SUN,BRE,LIV,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3
4,2+1+1+1,BRE-MCI-MUN-MUN-SUN,BRE,MCI,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3
4,2+1+1+1,BRE-MCI-MUN-SUN-SUN,BRE,MCI,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3
4,2+1+1+1,LIV-MCI-MUN-MUN-SUN,LIV,MCI,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3
4,2+1+1+1,LIV-MCI-MUN-SUN-SUN,LIV,MCI,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.3
4,2+1+1+1,AVL-BRE-MUN-MUN-SUN,AVL,BRE,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,AVL-BRE-MUN-SUN-SUN,AVL,BRE,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,AVL-LIV-MUN-MUN-SUN,AVL,LIV,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,AVL-LIV-MUN-SUN-SUN,AVL,LIV,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,AVL-MCI-MUN-MUN-SUN,AVL,MCI,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,AVL-MCI-MUN-SUN-SUN,AVL,MCI,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,BRE-BHA-MUN-MUN-SUN,BRE,BHA,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,BRE-BHA-MUN-SUN-SUN,BRE,BHA,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,BHA-LIV-MUN-MUN-SUN,BHA,LIV,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,BHA-LIV-MUN-SUN-SUN,BHA,LIV,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,BHA-MCI-MUN-MUN-SUN,BHA,MCI,MUN,MUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
4,2+1+1+1,BHA-MCI-MUN-SUN-SUN,BHA,MCI,MUN,SUN,SUN,2.4,3.0,2.0,2.33,2.17,2.2727,-0.2732
3,2+2+1,BRE-MUN-MUN-NFO-NFO,BRE,MUN,MUN,NFO,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.2
3,2+2+1,BRE-NFO-NFO-SUN-SUN,BRE,NFO,NFO,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.2
