tier,tier_id,lineup_summary,clubs,total_price,bb_rqi,tot_effective_xp,gw1_xp_5def,gw2_3_xp_6def,gw1_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m),AVL-IPS-LIV-MCI-MUN,25.0,68.55999755859375,63.75,26.15,37.6,2.6,2.33,2.4545,-0.0634
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Tarkowski (EVE £6.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m),ARS-EVE-MUN-NFO-SUN,26.0,70.33999633789062,59.81,28.9,30.9,2.2,2.67,2.4545,0.5366
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),AVL-IPS-LIV-MUN-NFO,22.5,65.80999755859375,55.47,24.22,31.25,2.4,2.67,2.5455,0.0366
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Robertson (TOT £4.5m),AVL-IPS-LIV-MUN-TOT,22.5,66.30999755859375,56.18,23.37,32.81,2.6,2.33,2.4545,-0.2366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m),AVL-IPS-LIV-MUN-NFO,23.0,68.38999938964844,57.41,25.06,32.35,2.4,2.67,2.5455,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m),AVL-IPS-LIV-MUN-NFO,23.5,67.16000366210938,57.25,25.1,32.14,2.4,2.67,2.5455,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m),AVL-IPS-LIV-MUN-NFO,24.0,66.7300033569336,57.53,25.18,32.35,2.4,2.67,2.5455,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Robertson (TOT £4.5m),AVL-IPS-LIV-MUN-TOT,23.0,69.11000061035156,58.24,24.21,34.02,2.6,2.33,2.4545,-0.2366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Van Hecke (TOT £5.0m),AVL-IPS-LIV-MUN-TOT,23.5,68.2300033569336,58.27,24.29,33.98,2.6,2.33,2.4545,-0.2366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Pedro Porro (TOT £5.5m),AVL-IPS-LIV-MUN-TOT,24.0,66.69999694824219,57.94,24.08,33.87,2.6,2.33,2.4545,-0.2366
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Jair Cunha (NFO £4.5m) + Robertson (TOT £4.5m),AVL-IPS-LIV-NFO-TOT,22.5,62.540000915527344,55.44,23.73,31.71,2.6,2.67,2.6364,-0.1
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Tarkowski (EVE £6.0m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m),ARS-AVL-EVE-MUN-SUN,26.0,68.69000244140625,60.08,27.94,32.14,2.4,2.5,2.4545,0.1902
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m),BHA-LIV-MCI-MUN-SUN,25.5,68.33999633789062,59.72,25.54,34.19,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Maatsen (AVL £4.5m) + Collins (BRE £5.5m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Ballard (SUN £5.0m),AVL-BRE-MCI-MUN-SUN,26.0,67.9000015258789,61.89,26.16,35.73,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,O'Brien (EVE £5.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Mukiele (SUN £5.5m),EVE-LIV-MUN-NFO-SUN,25.5,67.91000366210938,59.05,26.28,32.78,2.4,2.5,2.4545,0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Collins (BRE £5.5m) + Colwill (CHE £5.0m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m),ARS-BRE-CHE-MUN-SUN,26.0,67.97000122070312,58.94,27.31,31.63,2.4,2.33,2.3636,0.0634
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Mukiele (SUN £5.5m),LIV-MCI-MUN-NFO-SUN,26.0,69.9000015258789,60.72,26.76,33.96,2.4,2.33,2.3636,-0.2
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m),ARS-AVL-IPS-LEE-LIV,24.0,66.80000305175781,60.3,26.36,33.93,2.6,2.83,2.7273,0.0866
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),BHA-LIV-MCI-MUN-NFO,25.0,68.55999755859375,61.43,25.84,35.58,2.6,2.33,2.4545,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m),ARS-AVL-IPS-LEE-MUN,24.0,67.9800033569336,58.88,26.64,32.24,2.4,2.83,2.6364,0.1134
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),BHA-LIV-MCI-MUN-SUN,24.5,70.70999908447266,60.24,25.37,34.87,2.6,2.17,2.3636,-0.2
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Hume (SUN £4.5m),BHA-LIV-MCI-MUN-SUN,25.0,69.77999877929688,60.44,25.47,34.97,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Shaw (MUN £4.5m) + Ballard (SUN £5.0m) + Pedro Porro (TOT £5.5m),ARS-BHA-MUN-SUN-TOT,25.5,70.83999633789062,60.36,28.08,32.28,2.4,2.33,2.3636,-0.0098
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,O'Brien (EVE £5.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + Ballard (SUN £5.0m),EVE-LIV-MUN-NFO-SUN,25.5,69.62999725341797,60.22,26.74,33.48,2.4,2.5,2.4545,0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Ballard (SUN £5.0m),BHA-LIV-MCI-MUN-SUN,25.5,68.83999633789062,62.3,26.4,35.9,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Mukiele (SUN £5.5m),BHA-LIV-MCI-MUN-SUN,26.0,67.9000015258789,61.52,26.01,35.51,2.6,2.17,2.3636,-0.2
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m),ARS-AVL-IPS-LIV-MUN,23.5,68.20999908447266,57.83,25.87,31.96,2.4,2.67,2.5455,-0.0
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m),ARS-AVL-IPS-LIV-MUN,24.0,71.2300033569336,60.23,26.71,33.52,2.4,2.67,2.5455,-0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Canvot (CRY £5.0m) + Muharemović (LEE £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m),BHA-CRY-LEE-MCI-MUN,26.0,62.27000045776367,64.44,27.58,36.85,2.8,2.5,2.6364,-0.0134
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),BHA-LIV-MCI-MUN-SUN,25.0,69.77999877929688,61.94,26.21,35.72,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Shaw (MUN £4.5m) + Mukiele (SUN £5.5m) + Van Hecke (TOT £5.0m),ARS-BHA-MUN-SUN-TOT,25.5,70.4800033569336,59.8,27.91,31.9,2.4,2.33,2.3636,-0.0098
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m),BHA-LIV-MCI-MUN-SUN,25.5,68.83999633789062,62.14,26.31,35.82,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m),BHA-LIV-MCI-MUN-SUN,26.0,67.9000015258789,64.0,27.24,36.75,2.6,2.17,2.3636,-0.2
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),BHA-LIV-MCI-NFO-SUN,24.5,69.5,61.11,25.73,35.39,2.6,2.33,2.4545,0.0366
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m),BHA-LIV-MCI-NFO-SUN,25.0,68.55999755859375,61.31,25.83,35.49,2.6,2.33,2.4545,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m),ARS-IPS-LEE-LIV-MUN,24.0,69.87000274658203,59.25,26.97,32.28,2.4,2.67,2.5455,0.0
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m),ARS-IPS-LEE-LIV-MUN,24.5,70.29000091552734,61.65,27.81,33.84,2.4,2.67,2.5455,0.0
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m) + Robertson (TOT £4.5m),ARS-IPS-LEE-LIV-TOT,24.0,67.2300033569336,59.57,26.47,33.09,2.6,2.67,2.6364,-0.15
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Shaw (MUN £4.5m) + Mukiele (SUN £5.5m) + Pedro Porro (TOT £5.5m),ARS-BHA-MUN-SUN-TOT,26.0,68.56999969482422,59.27,27.69,31.57,2.4,2.33,2.3636,-0.0098
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m),ARS-IPS-LEE-LIV-MCI,26.0,64.2699966430664,65.43,28.41,37.02,2.6,2.67,2.6364,0.0
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m),BHA-LIV-MCI-NFO-SUN,25.0,68.55999755859375,61.15,25.77,35.39,2.6,2.33,2.4545,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m) + Robertson (TOT £4.5m),AVL-IPS-MCI-MUN-TOT,23.5,66.33000183105469,57.23,23.99,33.23,2.6,2.33,2.4545,-0.2366
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m),ARS-AVL-IPS-MCI-MUN,24.5,68.86000061035156,59.21,26.49,32.73,2.4,2.67,2.5455,-0.0
Band 1: Budget (£20.5m-£22.5m),1,Ajer (BRE £4.5m) + Colwill (CHE £5.0m) + Greaves (IPS £4.0m) + Bogle (LEE £4.5m) + Shaw (MUN £4.5m),BRE-CHE-IPS-LEE-MUN,22.5,45.22999954223633,45.25,19.94,25.31,2.6,2.5,2.5455,-0.0811
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m),ARS-IPS-LEE-MCI-MUN,25.0,69.3499984741211,60.64,27.59,33.05,2.4,2.67,2.5455,0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Mukiele (SUN £5.5m),ARS-BHA-MUN-NFO-SUN,25.5,71.62999725341797,62.09,29.52,32.57,2.2,2.67,2.4545,0.1634
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),BHA-LIV-MUN-NFO-SUN,22.5,68.08999633789062,55.4,24.29,31.11,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m),BHA-LIV-MUN-NFO-SUN,23.0,67.5199966430664,55.6,24.39,31.21,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m),BHA-LIV-MUN-NFO-SUN,23.5,70.55000305175781,57.78,25.32,32.46,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + Mukiele (SUN £5.5m),BHA-LIV-MUN-NFO-SUN,24.0,67.62999725341797,56.69,24.93,31.76,2.4,2.33,2.3636,-0.1366
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m),ARS-AVL-IPS-MCI-MUN,25.0,69.3499984741211,60.19,26.74,33.45,2.4,2.67,2.5455,-0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m),ARS-IPS-LEE-MCI-MUN,25.5,68.41000366210938,61.62,27.84,33.77,2.4,2.67,2.5455,0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m),ARS-AVL-IPS-MCI-MUN,25.5,68.41000366210938,62.59,27.58,35.01,2.4,2.67,2.5455,-0.0
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m) + Robertson (TOT £4.5m),ARS-IPS-LEE-MUN-TOT,24.0,67.86000061035156,58.15,26.75,31.4,2.4,2.67,2.5455,0.15
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m),BHA-LIV-MUN-NFO-SUN,23.0,67.05000305175781,55.34,24.33,31.01,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m) + Ballard (SUN £5.0m),BHA-LIV-MUN-NFO-SUN,24.0,69.68000030517578,57.82,25.36,32.46,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m) + Hume (SUN £4.5m),BHA-LIV-MUN-NFO-SUN,23.5,66.4800033569336,55.54,24.43,31.11,2.4,2.33,2.3636,-0.1366
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m) + Shaw (MUN £4.5m),ARS-IPS-LIV-MCI-MUN,24.5,70.75,59.59,26.82,32.77,2.4,2.5,2.4545,-0.1
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m),ARS-IPS-LIV-MCI-MUN,25.0,70.55999755859375,61.99,27.66,34.32,2.4,2.5,2.4545,-0.1
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),BHA-CHE-LIV-MUN-SUN,24.0,68.75,58.41,25.54,32.87,2.6,2.17,2.3636,-0.1903
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Milenković (NFO £5.5m) + O'Nien (SUN £4.0m),BHA-LIV-MUN-NFO-SUN,23.5,66.5199966430664,55.56,24.4,31.16,2.4,2.33,2.3636,-0.1366
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Ballard (SUN £5.0m),BHA-CHE-LIV-MUN-SUN,25.0,69.77999877929688,61.25,26.57,34.68,2.6,2.17,2.3636,-0.1903
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),BHA-CHE-LIV-MUN-NFO,24.5,69.5,60.06,26.01,34.05,2.6,2.33,2.4545,-0.1809
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m) + Jair Cunha (NFO £4.5m),ARS-IPS-LIV-MCI-NFO,24.5,69.08000183105469,60.36,27.18,33.18,2.4,2.83,2.6364,0.1732
Band 3: Single Anchor (£24.5m-£25.0m),3,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Milenković (NFO £5.5m) + Ballard (SUN £5.0m),BHA-LIV-MUN-NFO-SUN,24.5,68.87999725341797,57.89,25.43,32.46,2.4,2.33,2.3636,-0.1366
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m),BHA-CHE-LIV-MUN-NFO,25.0,68.55999755859375,60.0,26.05,33.95,2.6,2.33,2.4545,-0.1809
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),AVL-IPS-MCI-MUN-NFO,24.0,67.29000091552734,57.84,25.09,32.74,2.4,2.67,2.5455,0.0366
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),BHA-LIV-MUN-SUN-TOT,22.5,64.2300033569336,54.37,23.44,30.94,2.6,2.17,2.3636,-0.2232
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m),BHA-CHE-LIV-MUN-NFO,25.0,68.55999755859375,62.0,26.85,35.14,2.6,2.33,2.4545,-0.1809
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Shaw (MUN £4.5m) + Robertson (TOT £4.5m),AVL-IPS-MCI-MUN-TOT,24.0,67.80000305175781,58.55,24.24,34.31,2.6,2.33,2.4545,-0.2366
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),BHA-CHE-LIV-MUN-SUN,24.5,70.70999908447266,60.81,26.38,34.43,2.6,2.17,2.3636,-0.1903
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m),BHA-CHE-LIV-MUN-SUN,25.0,69.77999877929688,61.01,26.48,34.53,2.6,2.17,2.3636,-0.1903
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m),AVL-IPS-MCI-MUN-NFO,24.5,69.87999725341797,59.77,25.94,33.84,2.4,2.67,2.5455,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),BHA-LIV-MUN-SUN-TOT,23.5,66.88999938964844,56.87,24.47,32.4,2.6,2.17,2.3636,-0.2232
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m),AVL-IPS-MCI-MUN-NFO,25.0,68.63999938964844,59.61,25.98,33.63,2.4,2.67,2.5455,0.0366
Band 1: Budget (£20.5m-£22.5m),1,Ajer (BRE £4.5m) + Colwill (CHE £5.0m) + Greaves (IPS £4.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),BRE-CHE-IPS-MUN-NFO,22.5,55.7599983215332,49.28,22.35,26.94,2.4,2.5,2.4545,-0.0272
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Palestra (CHE £5.5m) + Jacquet (LIV £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),BHA-CHE-LIV-NFO-SUN,24.0,69.9800033569336,59.75,25.89,33.85,2.6,2.33,2.4545,-0.1809
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Robertson (TOT £4.5m),AVL-IPS-MCI-MUN-TOT,24.5,69.5,60.6,25.08,35.52,2.6,2.33,2.4545,-0.2366
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),ARS-IPS-LIV-MUN-NFO,23.5,69.72000122070312,57.56,26.83,30.72,2.2,2.83,2.5455,0.1732
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),BHA-LIV-MUN-NFO-SUN,23.0,70.68000030517578,57.33,25.13,32.2,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m),BHA-LIV-MUN-NFO-SUN,23.5,70.11000061035156,57.53,25.23,32.3,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Dunk (BHA £4.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m),BHA-LIV-MUN-NFO-SUN,24.0,72.69999694824219,59.48,26.16,33.32,2.4,2.33,2.3636,-0.1366
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m),ARS-IPS-LIV-MUN-NFO,24.0,68.68000030517578,57.5,26.87,30.63,2.2,2.83,2.5455,0.1732
