pre_clubs,pre_unique,pre_pattern,pre_sun,gw13_eff_fdr,gw1_avg_fdr,gw23_rot_fdr,pre_corr,n_swaps,out_clubs,in_clubs,post_clubs,post_unique,post_pattern,post_sun,gw419_rot_fdr,gw419_no_diff_pct,gw419_all_easy_pct,post_corr,path_eff_fdr,scenario_eligible,scenario_rank
BHA-BHA-CHE-IPS-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,-0.1488,2,"BHA,BHA","LIV,NEW",CHE-IPS-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1753,2.508508,False,
ARS-AVL-CHE-CHE-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.144,2,"ARS,CHE","FUL,NFO",AVL-CHE-FUL-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1683,2.508508,False,
AVL-CHE-CHE-IPS-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.144,2,"CHE,IPS","FUL,NFO",AVL-CHE-FUL-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1683,2.508508,False,
BHA-CHE-CHE-IPS-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.144,2,"BHA,CHE","FUL,MCI",CHE-FUL-IPS-MCI-TOT,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1129,2.508508,False,
ARS-BHA-CHE-LEE-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.1403,2,"ARS,BHA","FUL,NFO",CHE-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1838,2.508508,False,
BHA-CHE-IPS-LEE-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.1403,2,"BHA,IPS","FUL,NFO",CHE-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1838,2.508508,False,
ARS-BHA-CHE-LEE-MCI,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.1372,2,"ARS,CHE","COV,FUL",BHA-COV-FUL-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.149,2.508508,False,
BHA-CHE-IPS-LEE-MCI,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.1372,2,"BHA,LEE","LIV,NEW",CHE-IPS-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1753,2.508508,False,
AVL-LEE-LEE-MUN-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.1232,2,"LEE,MUN","FUL,NFO",AVL-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,0.0,-0.2008,2.508508,False,
AVL-LEE-LEE-TOT-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.1232,2,"LEE,SUN","FUL,NFO",AVL-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,0.0,-0.2008,2.508508,False,
BRE-BRE-CHE-CRY-NFO,4,2+1+1+1,0,2.6364,2.8,2.5,-0.1107,2,"BRE,CRY","AVL,BOU",AVL-BOU-BRE-CHE-NFO,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1001,2.508508,False,
ARS-CRY-LIV-MCI-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.1,2,"ARS,TOT","AVL,NEW",AVL-CRY-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1535,2.508508,False,
