set_id,set_label,clubs,archetype,is_distinct_clubs,combined_cost,total_mod_fdr,total_base_fdr,avg_def_mod_fdr,avg_def_base_fdr,player1,player2,player3,player4,player5
11455,Cash (AVL) + Ajer (BRE) + F.Kadıoğlu (BHA) + Thomas (COV) + Diop (IPS),AVL-BRE-BHA-COV-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","Ajer (BRE, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
11678,Cash (AVL) + Ajer (BRE) + Robinson (FUL) + Thomas (COV) + van Ewijk (COV),AVL-BRE-FUL-COV-COV,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","Ajer (BRE, £4.5m)","Robinson (FUL, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)"
12901,Cash (AVL) + F.Kadıoğlu (BHA) + Rodon (LEE) + Diop (IPS) + O'Nien (SUN),AVL-BHA-LEE-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Rodon (LEE, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
13954,Cash (AVL) + Mykolenko (EVE) + Aina (NFO) + Thomas (COV) + Ajayi (HUL),AVL-EVE-NFO-COV-HUL,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","Mykolenko (EVE, £4.5m)","Aina (NFO, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)"
14093,Cash (AVL) + Rodon (LEE) + Robertson (TOT) + Thomas (COV) + Ajayi (HUL),AVL-LEE-TOT-COV-HUL,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","Rodon (LEE, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)"
14156,Cash (AVL) + Heaven (MUN) + Robertson (TOT) + Thomas (COV) + Diop (IPS),AVL-MUN-TOT-COV-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","Heaven (MUN, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
15771,Cash (AVL) + Robertson (TOT) + Hume (SUN) + Diop (IPS) + O'Nien (SUN),AVL-TOT-SUN-IPS-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"Cash (AVL, £4.5m)","Robertson (TOT, £4.5m)","Hume (SUN, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
17468,Smith (BOU) + Ajer (BRE) + F.Kadıoğlu (BHA) + Diop (IPS) + O'Nien (SUN),BOU-BRE-BHA-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Ajer (BRE, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
17982,Smith (BOU) + Ajer (BRE) + Robertson (TOT) + Ajayi (HUL) + Diop (IPS),BOU-BRE-TOT-HUL-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Ajer (BRE, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
18054,Smith (BOU) + Ajer (BRE) + Heaven (MUN) + Diop (IPS) + O'Nien (SUN),BOU-BRE-MUN-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Ajer (BRE, £4.5m)","Heaven (MUN, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
19761,Jacquet (LIV) + Smith (BOU) + Thomas (COV) + van Ewijk (COV) + O'Nien (SUN),LIV-BOU-COV-COV-SUN,Other,False,21.5,142.75,146.0,2.504,2.561,"Jacquet (LIV, £5.0m)","Smith (BOU, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","O'Nien (SUN, £4.0m)"
19799,Smith (BOU) + Mitchell (CRY) + Mykolenko (EVE) + Thomas (COV) + Diop (IPS),BOU-CRY-EVE-COV-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Mitchell (CRY, £4.5m)","Mykolenko (EVE, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
19810,Smith (BOU) + Mitchell (CRY) + Robinson (FUL) + Thomas (COV) + Diop (IPS),BOU-CRY-FUL-COV-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Mitchell (CRY, £4.5m)","Robinson (FUL, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
20489,Smith (BOU) + Mitchell (CRY) + Robertson (TOT) + Ajayi (HUL) + Diop (IPS),BOU-CRY-TOT-HUL-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Mitchell (CRY, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
20568,Smith (BOU) + Mitchell (CRY) + Aina (NFO) + Diop (IPS) + O'Nien (SUN),BOU-CRY-NFO-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Mitchell (CRY, £4.5m)","Aina (NFO, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
20851,Smith (BOU) + Mykolenko (EVE) + Aina (NFO) + Ajayi (HUL) + Diop (IPS),BOU-EVE-NFO-HUL-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Smith (BOU, £4.5m)","Mykolenko (EVE, £4.5m)","Aina (NFO, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
23290,Ajer (BRE) + F.Kadıoğlu (BHA) + Mykolenko (EVE) + Thomas (COV) + O'Nien (SUN),BRE-BHA-EVE-COV-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Mykolenko (EVE, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
