set_label,gameweek,starter_1,starter_2,starter_3,bench_1,bench_2,lineup_mod_fdr_sum,lineup_avg_def_fdr
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",10,Heaven (MUN) vs AVL (H) [2.75],Thomas (COV) vs EVE (A) [3.25],Jacquet (LIV) vs CRY (A) [3.25],Rúben (MCI) vs NFO (A) [3.25],Gvardiol (MCI) vs NFO (A) [3.25],9.25,3.083
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",11,Rúben (MCI) vs FUL (H) [1.75],Gvardiol (MCI) vs FUL (H) [1.75],Thomas (COV) vs CRY (H) [2.75],Jacquet (LIV) vs MUN (H) [3.75],Heaven (MUN) vs LIV (A) [4.25],6.25,2.083
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",12,Heaven (MUN) vs BRE (H) [2.75],Thomas (COV) vs LEE (A) [3.25],Jacquet (LIV) vs EVE (A) [3.25],Rúben (MCI) vs ARS (A) [5.25],Gvardiol (MCI) vs ARS (A) [5.25],9.25,3.083
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",13,Thomas (COV) vs IPS (H) [1.75],Jacquet (LIV) vs SUN (H) [1.75],Rúben (MCI) vs LEE (H) [1.75],Gvardiol (MCI) vs LEE (H) [1.75],Heaven (MUN) vs NEW (A) [3.25],5.25,1.75
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",14,Heaven (MUN) vs COV (H) [1.75],Rúben (MCI) vs BRE (A) [3.25],Gvardiol (MCI) vs BRE (A) [3.25],Thomas (COV) vs MUN (A) [4.25],Jacquet (LIV) vs CHE (A) [4.25],8.25,2.75
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",15,Jacquet (LIV) vs LEE (H) [1.75],Thomas (COV) vs AVL (H) [2.75],Heaven (MUN) vs CRY (A) [3.25],Rúben (MCI) vs CHE (H) [3.75],Gvardiol (MCI) vs CHE (H) [3.75],7.75,2.583
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",16,Rúben (MCI) vs HUL (H) [1.75],Gvardiol (MCI) vs HUL (H) [1.75],Jacquet (LIV) vs TOT (H) [2.75],Thomas (COV) vs BOU (A) [3.25],Heaven (MUN) vs ARS (A) [5.25],6.25,2.083
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",17,Jacquet (LIV) vs HUL (A) [2.25],Heaven (MUN) vs NFO (H) [2.75],Rúben (MCI) vs NEW (A) [3.25],Gvardiol (MCI) vs NEW (A) [3.25],Thomas (COV) vs CHE (H) [3.75],8.25,2.75
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",18,Heaven (MUN) vs SUN (H) [1.75],Thomas (COV) vs BRE (H) [2.75],Rúben (MCI) vs EVE (A) [3.25],Gvardiol (MCI) vs EVE (A) [3.25],Jacquet (LIV) vs AVL (A) [4.25],7.75,2.583
"Global Best Lineup (Double MCI + LIV) [£24.5m, Total FDR 135.75]",19,Jacquet (LIV) vs COV (H) [1.75],Rúben (MCI) vs TOT (H) [2.75],Gvardiol (MCI) vs TOT (H) [2.75],Heaven (MUN) vs BHA (A) [3.25],Thomas (COV) vs LIV (A) [4.25],7.25,2.417
