model,multiplier_regime,slice,evaluation_season,gw_start,gw_end,seed_season,sample_count,signed_bias,mae,rmse,minutes_bias,snapshot_backed
dual_vector_state_hybrid,club_strength,all,2025-26,1,38,2024-25,31958,0.17896204970542703,1.0779192829273605,1.9685490036157622,2.7541555220426344,false
dual_vector_state_hybrid,club_strength,easy_mid_fwd,2025-26,1,38,2024-25,442,-0.1354933926599305,2.9300451767315794,3.824952878319388,1.73225586941311,false
dual_vector_state_hybrid,fdr_fallback,all,2025-26,1,38,2024-25,31958,0.19800484472974061,1.0798076560984446,1.9690823937144668,2.7541555220426344,false
dual_vector_state_hybrid,fdr_fallback,easy_mid_fwd,2025-26,1,38,2024-25,442,0.7528420220324925,3.2244406123270366,4.180026364296709,1.73225586941311,false
participation_state_hybrid,club_strength,all,2025-26,1,38,2024-25,31958,0.17885522200040543,1.0778467470637723,1.968579588888632,2.7541555220426344,false
participation_state_hybrid,club_strength,easy_mid_fwd,2025-26,1,38,2024-25,442,-0.13428692090740002,2.9289513486015863,3.825274696765522,1.73225586941311,false
participation_state_hybrid,fdr_fallback,all,2025-26,1,38,2024-25,31958,0.19790436240335293,1.0796397358154313,1.969259519006709,2.7541555220426344,false
participation_state_hybrid,fdr_fallback,easy_mid_fwd,2025-26,1,38,2024-25,442,0.7841221242294206,3.236988525813932,4.200291378353265,1.73225586941311,false
