path,bb,wc,fh,tc,total_19gw_xp,n_fts,pre_spend,fh_spend,post_spend,hits
WC3,1,3,12,17,1172.74,10,100.0,99.5,99.5,0
WC4,1,4,12,17,1175.12,9,100.0,99.5,99.5,0
