path,bb,wc,fh,tc,total_19gw_xp,n_fts,pre_spend,fh_spend,post_spend,hits
WC3,1,3,6,17,1194.2,7,100.0,100.0,100.0,0
WC4,1,4,19,17,1201.59,6,100.0,98.5,100.0,0
