path,gw,chip,formation,captain,player_id,web_name,club_short,position,cost,xp,is_captain,xi_xp,week_xp,published_week_xp,bench
WC4,6,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,3.88,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.42,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.37,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.1,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.81,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.51,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,5.98,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.23,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,68,Tavernier,BOU,MID,6.0,5.13,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.33,True,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,6,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,4.16,False,55.92,62.25,60.33,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,4.06,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.48,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.14,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.09,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.63,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.54,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,5.37,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.24,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,68,Tavernier,BOU,MID,6.0,4.17,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,5.91,True,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,7,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,5.15,False,54.78,60.69,59.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,4.08,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.47,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.23,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.12,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.72,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.68,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.1,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,68,Tavernier,BOU,MID,6.0,4.76,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,4.59,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.92,True,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,8,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,4.68,False,55.35,62.27,61.71,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,3.88,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.31,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,4.97,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,4.94,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.47,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.38,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,4.93,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,94,Schade,BRE,MID,6.0,4.91,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,4.73,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,5.52,True,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,9,,5-3-2,Haaland,194,Thomas-Asante,COV,FWD,5.0,3.77,False,51.81,57.33,58.02,"Isak, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,4.07,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.38,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.17,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.03,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.71,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.68,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,5.14,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,4.92,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,68,Tavernier,BOU,MID,6.0,4.74,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.91,True,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,10,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,5.22,False,55.97,62.88,61.57,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,4.14,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.42,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.41,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.09,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.82,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.64,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.66,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,5.17,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,94,Schade,BRE,MID,6.0,4.78,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.19,True,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,11,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,4.71,False,56.03,62.22,61.94,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,12,FH,4-4-2,Isak,1,Raya,ARS,GKP,6.0,4.22,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,4,Gabriel,ARS,DEF,8.0,5.09,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,504,Vuskovic,BHA,DEF,5.0,4.99,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,8,Calafiori,ARS,DEF,5.5,4.65,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,130,Wieffer,BHA,DEF,5.0,4.61,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,154,Palmer,CHE,MID,9.5,5.25,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,426,B.Fernandes,MUN,MID,12.0,5.22,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,68,Tavernier,BOU,MID,6.0,4.53,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,208,Sarr,CRY,MID,6.5,4.52,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,379,Isak,LIV,FWD,9.0,5.44,True,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,12,FH,4-4-2,Isak,165,João Pedro,CHE,FWD,7.5,4.53,False,53.05,58.49,58.49,"Konsa, Barry, Tzolakis, Armstrong"
WC4,13,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,4.02,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.31,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,4.96,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,4.94,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.6,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.54,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.19,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,4.72,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,68,Tavernier,BOU,MID,6.0,3.87,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.44,True,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,13,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,5.38,False,53.97,60.41,59.29,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,3.72,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.64,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.46,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.27,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.84,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.53,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.43,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,4.48,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,68,Tavernier,BOU,MID,6.0,4.0,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.78,True,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,14,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,5.43,False,55.58,62.36,62.53,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,384,Donnarumma,MCI,GKP,5.5,3.77,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,4,Gabriel,ARS,DEF,8.0,5.43,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,504,Vuskovic,BHA,DEF,5.0,5.25,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,8,Calafiori,ARS,DEF,5.5,5.13,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,130,Wieffer,BHA,DEF,5.0,4.73,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,388,Guéhi,MCI,DEF,6.0,4.29,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,557,Tzolis,ARS,MID,6.5,5.83,True,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,154,Palmer,CHE,MID,9.5,4.48,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,68,Tavernier,BOU,MID,6.0,3.97,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,379,Isak,LIV,FWD,9.0,5.4,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,15,,5-3-2,Tzolis,411,Haaland,MCI,FWD,15.5,5.16,False,53.44,59.27,58.73,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,16,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,4.07,False,52.9,58.87,58.37,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,16,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.25,False,52.9,58.87,58.37,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,16,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.16,False,52.9,58.87,58.37,"Thomas-Asante, Tzolakis, Crooks, Slater"
WC4,16,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,4.89,False,52.9,58.87,58.37,"Thomas-Asante, Tzolakis, Crooks, Slater"
