horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,raw_rot_xp,auto_sub_ev,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,all_easy_pct,avg_fdr_corr,num_unique_clubs,allocation_pattern,lineup,def1,def2,def3,def4,def5
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.0,73.47,16.803,77.27,330.45,318.45,12.0,17.39,2.35,84.2,0.0,-0.1037,5,1+1+1+1+1,Calafiori (ARS) + Thomas (COV) + Greaves (IPS) + Heaven (MUN) + O'Nien (SUN),Calafiori,Thomas,Greaves,Heaven,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.44,16.78,77.51,332.81,320.52,12.28,17.52,2.34,84.2,0.0,-0.1161,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Greaves (IPS) + Aina (NFO),Calafiori,De Cuyper,Thomas,Greaves,Aina
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.41,16.573,80.25,328.88,317.0,11.87,17.31,2.31,89.5,0.0,-0.0482,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Heaven (MUN) + O'Nien (SUN),Calafiori,De Cuyper,Thomas,Heaven,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.37,16.534,80.7,328.12,316.73,11.39,17.27,2.31,89.5,0.0,-0.087,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Mingueza (CRY) + O'Nien (SUN),Calafiori,De Cuyper,Thomas,Mingueza,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.14,16.262,83.81,322.96,311.69,11.27,17.0,2.28,94.7,0.0,-0.0652,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Mendy (HUL) + Greaves (IPS) + Heaven (MUN),Calafiori,De Cuyper,Mendy,Greaves,Heaven
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.06,16.708,77.52,331.44,319.74,11.7,17.44,2.31,84.2,0.0,-0.0335,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Mingueza (CRY) + Greaves (IPS),Calafiori,De Cuyper,Thomas,Mingueza,Greaves
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.05,16.685,77.82,331.01,318.92,12.09,17.42,2.34,84.2,0.0,-0.1414,5,1+1+1+1+1,Calafiori (ARS) + Thomas (COV) + Greaves (IPS) + Heaven (MUN) + Aina (NFO),Calafiori,Thomas,Greaves,Heaven,Aina
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,73.01,17.396,68.04,344.51,331.91,12.6,18.13,2.39,68.4,0.0,-0.0512,5,1+1+1+1+1,Calafiori (ARS) + Thomas (COV) + Greaves (IPS) + Muharemović (LEE) + O'Nien (SUN),Calafiori,Thomas,Greaves,Muharemović,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,72.93,16.707,77.24,331.41,319.74,11.67,17.44,2.35,84.2,0.0,-0.1082,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Mykolenko (EVE) + Greaves (IPS),Calafiori,De Cuyper,Thomas,Mykolenko,Greaves
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.0,72.93,16.903,74.55,332.34,320.14,12.2,17.49,2.35,78.9,0.0,-0.0856,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Greaves (IPS) + O'Nien (SUN),Calafiori,De Cuyper,Thomas,Greaves,O'Nien
