horizon,dcs,oc_score,s_risk,tot_rot_xp,rot_avg_fdr,gkp_pairing,def_lineup,total_price
gw1_19,94.72,26.456,92.25,532.4,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS),34.0
gw1_19,94.63,26.471,91.88,532.69,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN),34.0
gw1_19,94.55,26.442,91.97,532.14,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN),34.0
gw1_19,94.47,26.392,92.25,531.18,2.04,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS),34.0
gw1_19,94.42,26.288,93.18,531.91,1.97,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS),34.5
gw1_19,94.41,26.311,92.92,532.36,1.98,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV),34.5
gw1_19,94.38,26.407,91.88,531.47,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN),34.0
gw1_19,94.3,26.378,91.97,530.92,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN),34.0
gw1_19,94.19,26.23,93.17,530.81,1.98,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN),34.5
gw1_19,94.18,26.35,91.96,533.09,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Justin (LEE),34.5
gw1_19,94.17,26.246,92.96,531.12,1.98,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL),34.5
gw1_19,94.17,26.224,93.18,530.69,1.97,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS),34.5
gw1_19,94.16,26.247,92.92,531.14,1.98,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV),34.5
gw1_19,94.1,26.334,91.9,532.79,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Aina (NFO),34.5
gw1_19,94.09,26.291,92.32,531.97,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Castagne (FUL) + Greaves (IPS),34.5
gw1_19,94.06,26.292,92.23,531.99,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Ajayi (HUL),34.5
gw1_19,94.03,26.32,91.88,532.53,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Heaven (MUN),34.5
gw1_19,93.99,26.309,91.88,532.32,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Hume (SUN),34.5
gw1_19,93.98,26.281,92.13,531.78,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + O'Nien (SUN),34.5
gw1_19,93.94,26.204,92.81,533.02,2.02,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Jacquet (LIV),35.0
gw1_19,93.93,26.286,91.96,531.87,2.04,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Justin (LEE),34.5
gw1_19,93.93,26.166,93.17,529.59,1.98,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN),34.5
gw1_19,93.91,26.182,92.96,529.9,1.98,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL),34.5
gw1_19,93.9,26.279,91.97,531.74,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Hume (SUN),34.5
gw1_19,93.88,26.224,92.45,533.41,2.03,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Jacquet (LIV),35.0
gw1_19,93.84,26.265,91.96,534.18,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Muharemović (LEE),35.0
gw1_19,93.84,26.27,91.9,531.57,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Aina (NFO),34.5
gw1_19,93.84,26.236,92.23,530.93,2.03,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Mingueza (CRY) + Ajayi (HUL),34.5
gw1_19,93.83,26.447,90.12,534.93,2.05,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS),34.5
gw1_19,93.83,26.227,92.32,530.75,2.04,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Castagne (FUL) + Greaves (IPS),34.5
gw1_19,93.8,26.228,92.23,530.77,2.04,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Ajayi (HUL),34.5
gw1_19,93.78,26.256,91.88,531.31,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Heaven (MUN),34.5
gw1_19,93.75,26.462,89.74,535.22,2.06,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN),34.5
gw1_19,93.73,26.245,91.88,531.1,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Hume (SUN),34.5
gw1_19,93.73,26.217,92.15,530.57,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Mingueza (CRY) + O'Nien (SUN),34.5
gw1_19,93.72,26.217,92.13,530.56,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + O'Nien (SUN),34.5
gw1_19,93.7,26.056,93.7,532.91,2.0,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS),35.5
gw1_19,93.68,26.14,92.81,531.8,2.02,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Jacquet (LIV),35.0
gw1_19,93.67,26.224,91.95,533.4,2.08,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS),35.0
gw1_19,93.67,26.433,89.83,534.67,2.06,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN),34.5
gw1_19,93.66,26.204,92.12,533.03,2.03,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Thiaw (NEW),35.0
gw1_19,93.65,26.043,93.7,532.66,2.0,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS),35.5
gw1_19,93.64,26.215,91.97,530.52,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Hume (SUN),34.5
gw1_19,93.63,26.184,92.23,532.65,2.03,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Canvot (CRY) + Ajayi (HUL),35.0
gw1_19,93.63,26.279,91.28,534.44,1.98,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS),35.0
gw1_19,93.62,26.302,91.02,534.89,1.99,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV),35.0
gw1_19,93.62,26.211,91.95,533.15,2.08,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS),35.0
gw1_19,93.62,26.16,92.45,532.19,2.03,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Jacquet (LIV),35.0
gw1_19,93.59,26.201,91.96,532.96,2.04,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Muharemović (LEE),35.0
gw1_19,93.59,26.239,91.57,533.69,2.09,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN),35.0
gw1_19,93.58,26.18,92.15,532.56,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Canvot (CRY) + O'Nien (SUN),35.0
gw1_19,93.58,26.172,92.23,529.71,2.03,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Mingueza (CRY) + Ajayi (HUL),34.5
gw1_19,93.57,26.194,91.99,532.83,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Justin (LEE),35.0
gw1_19,93.56,26.202,91.88,532.98,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Ballard (SUN),35.0
gw1_19,93.56,26.172,92.18,532.42,2.04,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Jacquet (LIV),35.0
gw1_19,93.55,26.079,93.08,533.36,2.02,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV),35.5
gw1_19,93.53,26.226,91.57,533.44,2.09,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN),35.0
gw1_19,93.51,26.21,91.66,533.14,2.09,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN),35.0
gw1_19,93.5,26.066,93.08,533.11,2.02,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV),35.5
gw1_19,93.48,26.173,91.97,532.43,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Ballard (SUN),35.0
gw1_19,93.47,26.153,92.15,529.35,2.05,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Mingueza (CRY) + O'Nien (SUN),34.5
gw1_19,93.47,26.178,91.9,532.53,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + N.Williams (NFO),35.0
gw1_19,93.46,26.178,91.88,532.53,2.05,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Dalot (MUN),35.0
gw1_19,93.45,26.197,91.66,532.89,2.09,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN),35.0
gw1_19,93.41,26.14,92.12,531.81,2.03,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Thiaw (NEW),35.0
gw1_19,93.39,26.221,91.27,533.34,1.99,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN),35.0
gw1_19,93.37,26.237,91.06,533.65,1.99,Petrović (BOU) + Lammens (MUN),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL),35.0
gw1_19,93.37,26.12,92.23,531.43,2.03,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Canvot (CRY) + Ajayi (HUL),35.0
gw1_19,93.32,26.13,91.99,531.61,2.04,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Justin (LEE),35.0
gw1_19,93.32,25.998,93.33,531.81,2.02,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN),35.5
